#{"t_start": 1539704104.6761196, "env_id": "SoccerEnv-v0"}
r,l,t
350.661876,121,13.708886
0.0,121,14.031715
3.752838,121,14.352846
0.0,121,14.685701
0.0,121,15.052794
0.0,121,15.368
0.0,121,15.719479
-99.701299,121,16.063046
0.0,121,16.412118
0.0,121,16.720756
174.596439,121,16.983965
84.23919,121,17.27956
280.32189,121,17.541078
-18.89832,121,17.764948
0.0,121,18.009145
175.899318,121,18.261974
53.57132,121,18.592572
0.0,121,18.867849
0.0,121,19.098958
0.0,121,19.403286
205.421551,121,19.681631
0.0,121,19.915066
0.0,121,20.175905
0.0,121,20.405296
0.0,121,20.68455
200.516201,121,21.133286
344.399913,121,21.539379
0.0,121,21.920996
465.523082,121,22.313488
0.0,121,22.694117
-148.292971,121,23.090354
0.0,121,23.496578
0.0,121,23.910605
4902.987976,121,54.163715
146.563087,121,54.385819
0.0,121,54.622546
83.487941,121,54.86475
0.0,121,55.098098
0.0,121,55.382504
0.0,121,55.682622
94.510035,121,56.026108
162.204896,121,56.342779
85.04101,121,56.63808
0.0,121,56.967194
37.64152,121,57.276608
120.740776,121,57.577213
-11.18264,121,57.887813
403.306782,121,58.185102
14.48587,121,58.443234
76.91199,121,58.720684
0.0,121,58.968318
0.0,121,59.2314
57.507139,121,59.486756
-12.27829,121,59.7449
0.0,121,59.998789
0.0,121,60.261134
-27.321995,121,60.503079
131.48621,121,60.766788
306.620684,121,61.036286
331.502397,121,61.292439
47.88842,121,61.555355
0.0,121,61.830196
341.92833,121,62.086055
20.716185,121,62.390687
0.0,121,62.679859
29.81745,121,63.126221
141.318148,121,63.552748
0.0,121,68.696061
61.575137,121,68.905786
177.966751,121,69.119649
-29.89734,121,69.347471
-24.09168,121,69.566258
-22.38751,121,69.786629
35.3497,121,70.005938
76.000499,121,70.218396
153.601809,121,70.455481
324.855251,121,70.67202
15.073275,121,70.887187
28.73986,121,71.118171
149.38237,121,71.351152
41.768337,121,71.568259
75.69437,121,71.798524
-12.262975,121,72.051132
158.396083,121,72.36041
0.0,121,72.629024
17.612279,121,72.902876
0.0,121,73.184211
0.0,121,73.460078
112.898802,121,73.727273
0.0,121,74.003822
36.092755,121,74.304681
-9.35411,121,74.575821
57.663753,121,74.858721
117.03601,121,75.153251
-23.35399,121,75.419028
41.07324,121,75.706179
274.05347,121,75.991829
0.0,121,76.275069
252.832001,121,76.584993
0.0,121,77.025573
0.0,121,77.479414
-12.6773,121,84.690652
131.653691,121,85.018102
0.0,121,85.338761
65.79193,121,85.655712
465.949457,121,85.944536
0.0,121,86.174565
0.0,121,86.438347
0.0,121,86.667036
102.18205,121,86.903734
0.0,121,87.152344
0.0,121,87.396067
0.0,121,87.652435
0.0,121,87.891894
229.842878,121,88.19847
256.533545,121,88.504925
359.767938,121,88.79024
120.365877,121,89.055568
0.0,121,89.356091
5.53041,121,89.647506
25.70425,121,89.961426
39.408305,121,90.326166
30.09549,121,90.622468
67.285749,121,90.934081
0.0,121,91.226848
23.046597,121,91.501077
6.42032,121,91.836452
0.0,121,92.134405
103.337696,121,92.44984
75.108815,121,92.737792
121.200012,121,92.976637
0.0,121,93.257104
0.0,121,93.537519
-16.40891,121,93.838855
128.348062,121,94.13849
-6.15015,121,100.83365
213.681772,121,101.067998
95.674001,121,101.286975
-9.464576,121,101.505209
-62.592755,121,101.729972
-20.82786,121,102.006095
-16.01133,121,102.239285
68.703855,121,102.466925
173.458606,121,102.693447
190.967436,121,102.935059
64.3722,121,103.1694
0.0,121,103.422323
0.0,121,103.655708
18.566474,121,103.872835
611.36424,121,104.101627
-5.48418,121,104.332206
176.59315,121,104.597798
125.456977,121,104.880253
362.778572,121,105.147523
376.488789,121,105.395543
123.136131,121,105.670008
278.457102,121,105.988837
331.048399,121,106.22265
-18.92063,121,106.458515
0.0,121,106.705225
623.185546,121,106.932966
45.68819,121,107.180221
176.108889,121,107.413497
163.105992,121,107.648971
72.784351,121,107.898455
84.295629,121,108.299073
0.0,121,108.733065
717.913121,121,109.138513
766.904021,121,109.546991
0.0,121,116.796381
86.607332,121,117.013713
0.0,121,117.249423
0.0,121,117.461464
0.0,121,117.698078
0.0,121,117.931369
0.0,121,118.148407
138.399288,121,118.376567
-35.882205,121,118.660241
0.0,121,118.916048
-14.479475,121,119.177207
-29.280355,121,119.404236
15.50623,121,119.636709
127.258901,121,119.909503
0.0,121,120.140795
0.0,121,120.401832
0.0,121,120.647212
0.0,121,120.920023
118.426979,121,121.202697
27.101882,121,121.450025
0.0,121,121.781634
0.0,121,122.036601
0.0,121,122.287947
-20.75723,121,122.566769
0.0,121,122.818553
0.0,121,123.09608
0.0,121,123.416062
711.684416,121,123.700719
0.0,121,124.000206
118.523104,121,124.309398
37.71601,121,124.577621
189.303209,121,124.854462
51.57389,121,125.179094
381.125198,121,125.572575
212.17205,121,132.631622
67.415084,121,132.84636
-24.72366,121,133.053437
150.186674,121,133.292627
0.0,121,133.547502
236.586103,121,133.783962
0.0,121,134.015244
1.08277,121,134.277401
53.682175,121,134.542206
0.0,121,134.797644
35.996322,121,135.086423
130.137619,121,135.355567
121.430309,121,135.628481
52.330282,121,135.870372
93.120647,121,136.173219
339.853224,121,136.508553
0.0,121,136.87552
0.0,121,137.158935
0.0,121,137.461373
0.0,121,137.789709
0.0,121,138.081927
0.0,121,138.388053
0.0,121,138.640041
-53.43104,121,138.894669
155.64369,121,139.118814
217.41654,121,139.377545
26.2943,121,139.652078
-26.700885,121,139.950078
0.0,121,140.32361
237.381857,121,140.612993
4.44409,121,140.882392
80.3607,121,141.155896
0.0,121,141.454696
-126.647651,121,148.241091
-20.691391,121,148.442778
0.0,121,148.650555
0.0,121,148.859179
176.00935,121,149.073165
0.0,121,149.303457
13.603409,121,149.516252
0.0,121,149.729281
0.0,121,149.956556
0.0,121,150.178897
0.0,121,150.400634
0.0,121,150.637582
225.840843,121,150.94128
0.0,121,151.218308
78.70423,121,151.449762
0.0,121,151.722095
51.458679,121,152.038716
23.69054,121,152.302325
0.0,121,152.589675
0.0,121,152.866775
0.0,121,153.148127
0.0,121,153.444079
0.0,121,153.772642
17.532564,121,154.064542
207.05235,121,154.382229
0.0,121,154.661409
0.0,121,154.933383
0.0,121,155.245659
0.0,121,155.525038
122.065869,121,155.834878
0.0,121,156.152487
0.0,121,156.464027
0.0,121,156.735695
0.0,121,157.176606
5.8084,121,164.103032
417.110478,121,164.347011
202.045024,121,164.586916
0.0,121,164.825385
512.519071,121,165.076377
424.166204,121,165.357399
0.0,121,165.634289
267.841496,121,165.89654
256.599918,121,166.149262
0.0,121,166.39896
0.0,121,166.688856
-12.63084,121,166.965174
105.34553,121,167.235408
373.721971,121,167.527157
360.401113,121,167.791308
0.619499,121,168.079078
0.0,121,168.373288
0.0,121,168.624119
60.015101,121,168.9057
89.38765,121,169.134573
-11.17279,121,169.385736
14.652954,121,169.658092
0.0,121,169.917922
301.619639,121,170.173597
82.77771,121,170.43206
0.0,121,170.693261
37.53557,121,170.960309
88.29176,121,171.225031
26.05906,121,171.491749
2.57254,121,171.758062
-139.392419,121,172.201422
6.917459,121,172.618208
0.0,121,173.011868
71.736319,121,173.44535
0.0,121,180.463315
77.759613,121,180.688103
0.0,121,180.916946
119.859138,121,181.139037
141.812389,121,181.380946
123.44742,121,181.610365
0.0,121,181.84761
0.0,121,182.069596
0.0,121,182.306799
0.0,121,182.546127
610.692963,121,182.7851
95.112729,121,183.014045
198.13227,121,183.254393
71.269066,121,183.487958
82.043639,121,183.751794
195.07984,121,184.016016
128.296889,121,184.381192
0.0,121,184.673237
201.169324,121,184.969622
223.724748,121,185.220993
177.223331,121,185.466916
0.0,121,185.734805
445.044763,121,185.995946
0.0,121,186.288297
57.657654,121,186.583062
0.0,121,186.842502
64.813621,121,187.125084
0.0,121,187.427047
-5.11879,121,187.747451
0.0,121,188.034714
-1.265571,121,188.339879
584.419622,121,188.615031
0.0,121,189.032094
431.750766,121,189.442077
0.0,121,196.248186
