#{"env_id": "SoccerEnv-v0", "t_start": 1539893195.6929383}
r,l,t
3.881742,71,3.77841
5.421837,94,4.810108
55.801979,71,5.695831
11.310639,71,6.715784
0.0,79,7.653893
88.466743,71,8.540073
0.096274,85,9.395611
15.584684,71,10.147584
12.904984,71,10.8564
5.708906,81,11.67707
13.538287,71,12.412338
0.0,83,13.355326
0.0,93,14.284704
15.135155,71,15.083356
10.128264,71,15.987327
5.895577,71,16.729137
23.803736,71,17.521892
22.4722,71,18.339282
0.0,82,19.291424
0.0,96,20.052469
11.312553,71,20.74443
0.0,93,21.548778
12.029193,71,22.199224
85.44281,71,22.863047
22.21666,71,23.525653
9.21546,71,24.189965
74.12471,71,24.860633
0.0,83,25.599543
0.0,83,26.303385
1.861121,71,26.954736
3.779047,71,27.623239
0.0,80,28.372482
16.11643,71,29.103081
12.985611,71,29.780226
1.540196,71,30.452894
11.855634,71,31.154336
25.245155,71,31.83139
10.920671,71,32.539703
13.638604,71,33.211645
9.509891,71,33.952615
0.0,88,34.685658
0.0,82,35.425067
3.079788,71,36.119684
5.823676,81,36.778332
41.63361,71,37.469582
7.485335,71,38.146856
0.0,101,38.970303
67.357094,71,39.641481
0.0,85,40.365203
0.0,90,41.127753
98.621529,71,41.787239
4.386389,71,42.457637
16.277464,71,43.110644
3.796094,71,44.993653
0.0,91,45.717683
22.268295,71,46.432154
8.268622,81,47.120931
0.0,83,47.806176
16.045521,71,48.533715
0.0,90,49.288743
0.0,95,50.043956
10.527237,71,50.762074
76.444252,71,51.439991
12.150134,71,52.170717
12.116734,71,52.873828
11.436756,71,53.521901
75.33683,71,54.203661
30.833376,71,54.844001
0.0,83,55.553135
72.439682,71,56.21786
55.521305,71,56.898364
0.0,85,57.595071
3.783153,71,58.257054
0.0,90,59.029582
12.375705,71,59.736928
0.0,84,60.47433
0.0,82,61.226148
15.216711,71,61.933893
10.576683,71,62.618512
41.81271,71,63.369938
0.0,88,64.098095
33.52792,71,64.82735
12.353201,71,65.49071
85.987,71,66.16184
101.302628,71,66.846189
2.216155,71,67.546432
0.0,94,68.286708
0.0,91,69.0568
-0.15971,80,69.795319
3.775292,71,70.515798
0.0,92,71.220085
0.0,86,71.901833
11.717884,71,72.599441
103.245895,71,73.303918
44.441349,71,73.960878
12.015411,71,74.672529
11.292977,71,75.352011
0.0,86,76.016899
1.739483,71,76.775223
0.0,84,77.547745
12.666796,71,78.221391
59.001263,71,78.91312
15.58712,71,79.583602
19.119587,71,80.249528
0.0,108,81.050858
11.491558,71,81.730057
13.201168,71,83.165573
0.0,93,83.984545
3.648948,71,84.661312
95.643906,71,85.341149
0.0,93,86.05736
33.517265,71,86.722628
10.728026,71,87.411068
5.547331,71,88.141441
0.0,94,88.860459
9.47468,71,89.527674
95.995659,71,90.217111
0.0,92,90.946537
11.457451,71,91.642126
