#{"t_start": 1539747057.5563068, "env_id": "SoccerEnv-v0"}
r,l,t
199.562927,71,2.458859
138.571426,71,3.107049
0.0,83,3.796795
0.0,85,4.522793
0.0,78,5.322113
134.417999,71,6.097687
20.310329,71,7.062227
0.0,84,7.801121
144.983017,71,8.511733
0.0,81,9.195184
81.712753,71,9.855824
0.0,88,10.528326
0.0,94,11.278486
110.564041,71,11.916513
216.818909,71,12.560256
189.383453,71,13.216094
40.691959,71,14.008448
122.659859,71,14.71783
170.605896,71,15.439815
206.511719,71,16.138641
128.728836,71,17.12534
170.253403,71,17.943944
218.81871,71,18.83923
72.230118,71,19.889937
210.398834,71,20.886778
154.813965,71,21.753216
114.045998,71,22.614177
0.0,77,23.52346
0.0,95,24.441724
181.190369,71,25.258155
1.369045,86,26.064039
88.746292,71,26.903024
0.0,108,27.837607
0.0,78,28.584238
0.0,104,29.495121
9.582102,71,30.400517
114.530708,71,31.18553
0.0,90,32.117611
0.0,78,32.966359
0.0,87,33.909628
107.563004,71,34.755661
13.55821,71,35.664263
22.903503,71,36.385503
0.0,86,37.192642
0.0,82,38.04082
89.103715,94,38.910006
0.0,86,39.65385
15.741669,71,40.360694
135.395142,71,41.116839
0.0,79,42.032384
0.0,88,42.954201
207.669769,71,43.899035
158.699234,71,46.222724
0.0,79,47.222235
0.0,92,48.138734
130.502945,71,48.948668
0.0,94,49.899664
0.0,82,50.791405
113.939827,71,51.571335
0.0,91,52.548065
168.448746,71,53.37191
17.049185,71,54.155779
0.0,83,54.895401
0.0,85,55.686103
1.243699,80,56.44922
153.595779,71,57.386681
10.56181,71,58.24814
103.825172,71,58.943364
0.0,93,59.735952
0.0,85,60.742846
137.662262,71,61.54064
0.0,88,62.538388
131.140213,71,63.402544
164.287643,71,64.352106
0.0,88,65.36374
0.0,83,66.355251
177.315033,71,67.27957
91.145798,71,68.233301
101.805229,71,68.961788
0.0,80,69.828304
0.0,82,70.674559
0.0,103,71.613631
105.960159,71,72.457683
193.930496,71,73.280325
0.0,85,74.075582
118.027611,71,74.879293
160.808533,71,75.691603
0.0,83,76.53007
97.147942,71,77.199076
0.0,85,77.89519
183.735489,71,78.578405
0.0,81,79.234083
51.461441,71,79.950247
0.0,82,80.81074
100.717667,71,81.672115
0.0,84,82.598056
129.696503,71,83.572783
0.0,92,84.494628
158.455933,71,85.349049
0.0,94,86.075239
0.0,83,86.761797
13.283437,71,87.501155
107.867416,71,88.387909
38.928654,71,89.302633
31.69729,71,90.320981
10.578899,71,92.166657
132.152039,71,92.830305
26.306222,86,93.682738
12.689431,71,94.575069
0.0,80,95.450216
106.723167,71,96.207892
0.0,79,97.011233
0.0,83,97.838422
174.804977,71,98.677529
0.0,94,99.894319
122.988091,71,100.787747
0.0,91,101.639255
0.0,81,102.33901
0.0,85,103.053137
96.861717,71,103.932115
0.0,93,104.902757
0.0,79,105.783347
0.0,82,106.777147
147.706146,71,107.627023
9.136188,71,108.53554
138.225266,71,109.486224
44.751068,71,110.526477
199.304382,71,111.57688
0.0,95,112.616708
114.153992,71,113.468871
222.345657,71,114.329277
67.220818,71,115.156809
0.0,73,115.872386
118.914253,71,116.557159
186.254761,71,117.23069
177.820755,71,117.959011
0.0,88,118.689649
143.266434,71,119.373944
99.640717,71,120.019701
16.223495,71,120.680537
0.0,82,121.322247
0.0,81,121.991678
0.0,89,122.690541
0.0,73,123.316127
125.28434,71,123.996916
190.212433,71,124.638684
24.45726,71,125.305284
126.429359,71,125.990129
0.0,86,126.738419
15.680525,71,127.415179
139.568832,71,128.108911
172.729156,71,128.779592
0.0,81,129.461211
0.0,86,130.233169
215.905121,71,130.922111
107.47776,71,131.602866
61.60487,71,132.312659
111.197403,71,132.983223
22.632336,71,134.526567
18.544115,71,135.182513
0.0,81,135.899772
0.0,84,136.652362
0.0,72,137.303092
67.354218,71,137.99168
0.0,96,138.707277
30.317786,84,139.424515
13.546845,71,140.086138
0.0,86,140.765022
0.0,94,141.50356
151.000046,71,142.193942
0.0,107,142.968283
0.0,83,143.655318
16.254616,71,144.302674
0.0,87,145.000865
0.0,82,145.759181
0.0,99,146.505469
110.179741,71,147.182696
0.0,83,147.902153
179.218002,71,148.659836
0.0,96,149.441917
0.0,101,150.253479
0.0,79,150.980341
115.62645,71,151.652092
148.295685,71,152.325799
0.0,83,153.064202
202.326935,71,153.744212
127.952553,71,154.379431
0.0,83,155.107091
0.0,84,155.778421
0.0,96,156.522716
189.25769,71,157.165796
38.674244,71,157.852054
35.828117,71,158.525735
0.0,107,159.319492
0.0,84,159.990691
0.0,92,160.742317
0.0,84,161.430595
0.0,88,162.213937
0.0,84,162.913824
126.930954,71,163.573405
16.88858,71,164.25053
37.724432,84,164.94775
24.54232,71,165.592681
0.0,83,166.289089
161.573853,71,166.89846
14.42737,71,167.564043
0.0,90,168.293253
0.0,104,169.097975
33.059425,71,169.756364
40.728909,71,171.203737
0.0,93,171.939472
0.0,90,172.653219
0.0,77,173.319714
31.317095,86,174.081999
0.0,87,174.781053
13.692861,71,175.416312
0.0,113,176.238257
99.155067,71,176.942008
0.0,88,177.661808
15.095051,71,178.312827
84.405731,71,179.07209
191.34671,71,179.773207
15.740957,71,180.489665
0.0,85,181.224645
110.079369,71,181.96462
127.149048,71,182.695045
0.0,89,183.494633
105.117462,71,184.198128
0.0,93,184.990734
0.0,82,185.723854
48.31823,71,186.468892
0.0,79,187.16987
50.586601,81,187.927543
0.0,93,188.787965
0.0,96,189.553742
128.806427,71,190.216684
17.511448,71,190.892277
115.367569,71,191.542729
0.0,104,192.334268
158.48912,71,192.996007
67.75724,71,193.620836
181.778732,71,194.276712
145.419983,71,195.164935
0.0,85,196.028982
105.503799,71,196.834833
140.877731,71,197.699798
0.0,86,198.497809
0.0,71,199.219818
28.135897,71,200.026806
0.0,78,200.870951
149.646713,71,201.67197
59.816292,71,202.483887
180.473434,71,203.321881
88.920967,71,204.069125
0.0,91,204.830498
77.793877,71,205.515582
0.0,93,206.251947
0.0,81,206.942762
35.151302,71,207.635526
159.501694,71,208.316571
0.0,89,209.020499
0.0,80,210.533778
0.0,84,211.265849
0.0,89,211.951739
0.0,83,212.609788
145.188232,71,213.263663
116.99482,71,213.909202
40.562725,71,214.541385
0.0,93,215.280127
0.0,115,216.180267
0.0,79,216.87221
104.100151,71,217.558373
10.866728,92,218.321286
117.775787,71,218.955021
142.816803,71,219.599069
15.946576,71,220.260014
0.0,82,220.947091
122.529152,71,221.592955
125.024872,71,222.283195
0.0,84,222.940662
0.0,80,223.600917
36.251717,71,224.234945
0.0,81,224.888369
106.356277,71,225.585119
136.348282,71,226.205146
15.53308,71,226.847071
13.744641,71,227.473514
17.629232,71,228.129364
39.606991,71,228.806967
144.951233,71,229.450976
14.311158,71,230.095705
173.097717,71,230.786999
227.297287,71,231.473032
46.972599,71,232.135275
0.0,80,232.891249
119.543114,71,233.599124
0.0,105,234.359893
28.553499,71,235.052815
193.205597,71,235.706759
0.0,107,236.441977
22.574066,71,237.109882
111.495277,71,237.834289
16.518734,71,238.48681
108.724609,71,239.127314
0.0,107,239.889349
112.425346,71,240.544601
0.0,85,241.196301
0.0,78,241.84273
0.0,94,242.515518
72.390961,71,243.147676
133.144135,71,243.827417
189.210037,71,244.502157
0.0,101,245.260483
34.755531,71,246.757364
93.498322,71,247.405102
14.37466,71,248.149468
0.0,83,248.873158
115.058647,71,249.548781
28.554701,71,250.183379
0.0,80,250.811627
14.511058,71,251.465081
0.0,90,252.148402
0.0,82,252.851726
68.317619,71,253.527263
0.0,109,254.312706
4.991674,81,255.016688
0.0,83,255.684635
0.0,86,256.363203
95.221779,71,256.998286
0.0,93,257.741014
137.976013,71,258.37881
0.0,84,259.02927
10.16163,71,259.754208
167.252808,71,260.446714
208.719055,71,261.128664
0.0,84,261.776229
0.0,96,262.485724
0.0,86,263.177839
0.0,104,263.966042
175.993454,71,264.623152
102.421799,71,265.279124
0.0,86,265.941883
188.466095,71,266.63183
0.0,81,267.284832
18.279053,71,267.923927
0.0,82,268.661452
0.0,95,269.401177
0.0,79,270.091191
0.0,106,270.842845
105.282242,71,271.492855
118.406052,71,272.192835
0.0,83,272.839755
74.352318,71,273.490484
0.0,79,274.140618
0.0,83,274.799008
130.659576,71,275.502646
0.0,92,276.283833
110.958862,71,276.941023
10.149758,71,277.592184
46.418533,71,278.291135
34.711758,71,278.954767
7.889048,71,279.606157
0.0,84,280.305341
33.65419,71,280.953602
24.207106,71,281.610917
188.989151,71,283.198799
143.983307,71,283.902102
136.868256,71,284.545271
0.0,82,285.279264
0.0,85,285.96753
0.0,84,286.618574
98.152733,71,287.266415
128.260162,71,287.914289
0.0,94,288.657657
14.951724,71,289.295761
111.587929,71,290.044408
13.169416,71,290.698917
0.0,83,291.380128
0.0,79,292.017295
141.478302,71,292.696994
154.021759,71,293.341859
0.0,104,294.145722
0.0,84,294.827101
0.0,96,295.562917
111.195198,71,296.232961
39.328963,81,296.932227
0.0,92,297.64204
0.0,98,298.404031
0.0,80,299.083445
0.0,83,299.748889
0.0,84,300.436893
0.0,83,301.12501
0.0,84,301.795835
0.0,86,302.462489
0.0,87,303.161661
0.0,92,303.912127
17.680157,71,304.563958
112.836197,71,305.377929
0.0,88,306.352907
0.0,80,307.204888
57.188229,71,308.004728
34.669373,71,308.751505
0.0,92,309.587762
114.033981,71,310.384083
125.366379,71,311.195485
121.136063,71,312.091762
17.015863,71,312.880781
0.0,85,313.707388
0.0,92,314.548566
3.088672,87,315.425591
133.369797,71,316.199445
116.223099,71,316.919506
21.861691,71,317.641052
29.10144,71,318.323601
144.757111,71,318.963218
0.0,92,319.712644
18.708871,86,321.145261
144.370071,71,321.813482
0.0,121,322.763854
32.968491,71,323.447149
14.705602,71,324.114007
0.0,80,324.780751
45.851568,81,325.430444
0.0,107,326.21979
18.163872,71,326.870472
0.0,87,327.565219
24.705414,71,328.280062
0.0,82,328.947093
110.057541,71,329.666021
0.0,94,330.488245
0.0,90,331.200949
0.0,86,331.866822
136.107941,71,332.501997
132.872253,71,333.137062
170.546783,71,333.831593
93.754929,71,334.479537
0.0,91,335.243108
165.859283,71,335.90829
110.203842,71,336.601928
86.506149,71,337.242633
75.093132,71,337.881322
132.151154,71,338.541983
111.016487,71,339.23674
127.541222,71,340.066063
12.500399,71,340.901976
224.836823,71,341.653003
0.0,95,342.713493
158.860077,71,343.527461
128.171356,71,344.47608
16.547817,71,345.24391
187.164536,71,346.130973
16.802015,71,346.932856
85.321899,71,347.741398
0.0,83,348.635175
0.0,88,349.535919
0.0,80,350.45537
0.0,81,351.1623
227.106186,71,351.942385
129.794067,71,352.839772
0.026199,81,353.845873
0.0,94,354.873877
9.74985,71,355.849802
32.428391,71,356.786732
122.067078,71,357.62159
0.0,88,358.754677
16.132803,71,359.565392
58.491371,71,360.380816
0.0,82,361.384385
0.0,92,362.397688
179.176605,71,364.17533
27.416288,71,364.983568
70.834979,81,365.90353
0.0,73,366.74761
0.0,86,367.429888
219.138641,71,368.173239
144.929092,71,368.972736
0.0,91,369.778138
0.0,83,370.652117
14.718284,71,371.517411
10.776543,71,372.346889
84.117783,71,373.139882
193.000885,71,373.900207
27.160946,71,374.713286
104.824516,71,375.352976
202.70163,71,375.99553
0.0,77,376.648454
0.0,87,377.347773
161.136353,71,378.027424
0.0,106,378.818749
0.0,91,379.540619
0.0,101,380.34295
0.0,80,380.969971
126.88681,71,381.643915
12.30878,71,382.290704
151.857941,71,382.915022
158.381638,71,383.537402
148.656891,71,384.183284
0.0,121,385.053243
189.334824,71,385.750454
150.400421,71,386.451058
15.794655,71,387.128597
0.0,99,387.864363
0.0,83,388.590534
0.0,81,389.311428
-0.04655,82,389.98902
0.0,82,390.669379
14.616199,71,391.294044
147.982437,71,391.966615
14.044849,71,392.615819
48.664989,71,393.302355
30.578548,71,393.909792
0.0,90,394.65244
0.0,74,395.288132
0.0,82,395.929993
0.0,89,396.619905
127.788109,71,397.283437
0.0,86,397.93687
0.0,78,398.687163
119.669884,71,399.347578
142.68898,71,400.01559
163.763947,71,400.655135
118.624496,71,402.148138
184.432297,71,402.771096
143.575836,71,403.410405
9.568258,71,404.102098
116.69136,71,404.753139
0.0,87,405.48511
0.0,87,406.300687
0.0,86,407.091888
0.0,80,407.792351
140.890656,71,408.450387
49.129211,71,409.093451
15.089403,71,409.783783
51.294868,71,410.455233
13.208674,71,411.102771
0.0,85,411.824457
0.0,83,412.551471
165.469986,71,413.205829
144.834656,71,413.841039
115.66436,71,414.495055
120.091637,71,415.198385
47.191135,71,415.828138
0.0,81,416.511776
120.65197,71,417.126904
0.0,78,417.803743
0.0,75,418.51397
77.763634,71,419.237136
0.0,83,419.896029
0.0,84,420.565745
129.983185,71,421.211756
0.0,85,421.863808
141.604156,71,422.500948
135.471664,71,423.179382
126.495132,71,423.813708
193.293915,71,424.466578
81.032158,71,425.105617
0.0,80,425.7561
0.0,83,426.411313
145.736557,71,427.093945
24.058325,71,427.806493
0.0,80,428.487205
128.266937,71,429.13532
124.64563,71,429.834756
130.551239,71,430.452671
115.148109,71,431.164337
145.01326,71,431.851459
0.0,82,432.498717
72.44278,71,433.117812
110.688957,71,433.758179
220.589478,71,434.412989
15.452225,71,435.076789
172.949356,71,435.742654
33.643448,71,436.448917
191.023773,71,437.10463
0.0,94,437.843315
135.29068,71,438.480625
24.33951,71,439.935201
0.0,84,440.604704
0.0,79,441.226664
115.414558,71,441.870083
57.90028,71,442.533312
98.989708,71,443.152859
160.401993,71,443.787947
0.0,90,444.469515
31.689267,94,445.190028
0.0,121,445.947747
159.871094,71,446.556694
12.851149,71,447.174505
118.61985,71,447.817944
13.59993,71,448.45808
94.19677,71,449.08656
154.10498,71,449.741594
0.0,103,450.476934
0.0,91,451.152683
116.358551,71,451.827751
0.0,77,452.472743
111.533234,71,453.177042
0.0,94,453.928337
113.7202,71,454.639942
33.442593,71,455.275884
116.093384,71,455.941623
0.0,86,456.646119
0.0,90,457.331726
0.0,90,458.02242
0.0,86,458.733036
0.0,121,459.522424
73.518089,71,460.144861
119.459396,71,460.781219
128.799393,71,461.460681
0.0,80,462.108362
0.0,82,462.761036
14.471012,71,463.401616
224.276474,71,464.03855
79.61837,71,464.665946
0.0,91,465.471214
17.299454,71,466.178519
191.568817,71,466.87226
0.0,79,468.157809
180.472427,71,469.231561
0.0,121,470.54891
215.842743,71,471.44079
147.724686,71,472.403067
0.0,85,473.364925
0.0,84,474.401138
185.576645,71,475.363594
0.0,81,476.327062
0.0,78,477.26214
0.0,83,479.327049
0.0,94,480.259303
133.894302,71,481.134127
0.0,86,482.094435
15.969374,71,483.104678
18.150064,71,484.037986
0.0,83,484.920412
61.477219,71,485.798617
0.0,79,486.652987
0.0,78,487.447009
129.614517,71,488.255236
159.230072,71,489.126196
15.168382,71,489.973764
0.0,93,490.887473
18.53422,71,491.70665
171.097977,71,492.603434
120.22242,71,493.407659
117.267967,71,494.247473
153.530884,71,495.120483
176.916046,71,496.056223
14.925742,71,497.004686
0.0,118,498.007278
0.0,93,499.040483
0.0,93,499.952061
0.0,90,501.062834
0.0,86,502.04909
0.0,79,502.858131
0.0,88,503.775777
71.305122,71,504.484363
109.887917,71,505.196285
146.85054,71,506.196948
99.60392,71,507.158539
0.0,77,507.900209
0.0,94,508.913161
0.0,84,509.852428
70.01255,71,510.708406
223.230408,71,511.661091
0.0,82,512.592954
187.280746,71,513.478185
137.40123,71,514.158112
0.0,115,514.928177
118.356377,71,515.628521
106.893097,71,516.31546
128.239273,71,517.03817
201.645493,71,517.884438
111.783028,71,518.666411
10.922546,71,519.494971
0.0,81,520.165406
187.054764,71,520.851083
0.0,87,521.842509
158.261795,71,522.763801
107.829628,71,523.644201
113.624512,71,524.443796
0.0,85,526.396334
0.0,83,527.333461
87.465408,71,528.374882
0.0,82,529.473646
16.787344,71,530.525532
0.0,90,531.34937
163.672241,71,531.998544
151.801407,71,532.650283
58.314697,81,533.344033
0.0,85,534.087672
0.0,84,534.786137
0.0,86,535.590906
13.594877,71,536.296122
0.0,103,537.189846
0.0,76,537.864271
15.083243,81,538.58394
0.0,82,539.486981
104.406197,71,540.179614
0.0,112,540.921186
128.810989,71,541.553089
0.0,80,542.190837
0.667728,90,543.1511
114.128189,71,543.774933
117.126022,71,544.421564
0.0,94,545.130386
171.860977,71,545.84189
0.0,86,546.55875
120.645233,71,547.231242
117.096992,71,547.84824
0.0,87,548.726723
0.0,89,549.449364
135.415253,71,550.110351
59.40078,71,550.747712
87.04007,71,551.388653
0.0,78,552.037212
123.875023,71,552.739714
199.355927,71,553.492951
0.0,90,554.368667
0.0,93,555.093964
0.0,86,555.728844
0.0,93,556.610817
30.694328,71,557.321906
27.19735,71,557.954379
0.0,79,558.595557
107.380913,71,559.238868
33.451302,71,559.859855
113.430099,71,560.476341
21.714109,71,561.239048
146.446548,71,562.002333
21.386868,71,562.664635
9.495213,71,563.307522
0.0,87,564.871139
34.48098,71,565.52539
132.926239,71,566.275836
14.485423,71,566.906167
64.767273,71,567.520308
177.151825,71,568.170206
0.0,97,568.885224
0.0,79,569.522533
0.0,82,570.209048
0.0,90,570.909878
194.768036,71,571.568154
110.73922,71,572.219489
35.595165,71,572.859117
52.25494,71,573.519526
12.876213,71,574.132963
137.048248,71,574.773431
0.0,83,575.46935
18.989125,84,576.172341
0.0,83,576.919294
92.483063,71,577.660702
38.390407,81,578.318156
73.90844,71,579.16716
95.58564,71,580.07163
14.595326,71,580.80383
73.93174,71,581.635489
0.0,115,582.530131
113.819473,71,583.453957
133.985214,71,584.261002
0.0,85,585.066591
168.704895,71,585.921395
112.231827,71,586.694714
16.713783,71,587.506417
14.767735,71,588.258657
55.66317,71,589.042583
0.0,93,589.895259
157.322754,71,590.659274
0.0,83,591.515924
0.0,86,592.336421
0.0,82,593.041367
147.949677,71,593.718017
14.414181,71,594.390913
113.588409,71,595.049428
0.0,89,595.757799
199.910339,71,596.457634
0.0,92,597.175046
131.120346,71,597.941753
0.0,84,598.637296
23.947033,71,599.397306
0.0,79,600.203722
0.0,92,601.08426
0.0,92,601.945242
91.558197,71,602.830134
0.0,83,603.811399
21.539619,71,605.457696
0.0,74,606.143577
142.318359,71,606.802677
83.077942,71,607.428998
0.0,83,608.073486
37.580391,71,608.676885
151.223663,71,609.335533
14.594294,71,609.960486
0.0,83,610.685081
0.0,82,611.580814
34.837254,71,612.364887
79.252182,71,613.092986
104.089859,71,613.854184
0.0,73,614.453221
0.0,119,615.200996
73.958138,71,615.897687
147.098999,71,616.721256
178.974915,71,617.642761
168.438446,71,618.583421
0.0,82,619.353201
0.0,98,620.100696
20.813065,71,620.822461
0.0,118,621.721571
0.0,83,622.41773
0.0,82,623.279157
0.0,84,624.572381
0.729037,80,625.850267
133.957718,71,626.85797
0.0,86,627.971359
154.80896,71,628.800825
129.408417,71,629.644108
0.0,87,630.503379
0.0,76,631.397495
0.0,78,632.189109
114.838448,71,633.037156
152.034241,71,633.956025
0.0,90,634.759324
109.373222,71,635.521644
0.0,84,636.428272
5.610092,90,637.337664
158.602966,71,637.986772
51.704681,71,638.719649
152.800583,71,639.533902
0.0,91,640.401709
23.008789,71,641.16208
13.153635,71,641.926956
0.0,84,642.792014
0.0,79,643.70794
148.026535,71,644.579959
121.91806,71,645.352393
108.422607,71,646.223232
35.535419,71,647.112975
29.112835,71,647.776861
0.0,83,649.431376
121.069923,71,650.242343
232.644791,71,651.006125
0.0,90,651.792289
0.0,76,652.458419
168.273209,71,653.106502
0.0,114,653.939837
0.0,93,654.807743
28.189217,71,655.533423
15.706864,71,656.27775
14.203729,71,656.930076
15.94131,71,657.887305
0.0,88,658.809773
41.02755,71,659.630516
132.623749,71,660.590601
130.513916,71,661.606078
0.0,86,662.672601
143.805557,71,663.529386
0.0,86,664.538448
42.278301,71,665.341822
131.700592,71,666.237171
0.0,82,667.099855
196.157089,71,667.971584
0.0,86,668.899333
17.571831,71,669.7707
0.0,91,670.824497
21.183876,71,671.638937
0.0,77,672.559918
18.753847,71,673.376768
59.376411,71,674.384973
157.087524,71,675.19071
194.207214,71,676.119038
0.0,86,676.977366
0.0,85,677.854192
0.0,90,678.639808
0.0,78,679.608879
183.319565,71,680.445987
24.170444,71,681.288592
113.874458,71,682.002089
156.253677,71,682.869143
117.84185,71,683.7524
-0.011525,81,684.560146
3.469594,93,685.493471
42.848209,71,686.23875
0.0,93,687.336442
0.0,84,688.241863
54.408206,81,688.952343
0.0,74,689.597524
112.057503,71,690.31723
126.071739,71,691.034132
0.0,85,691.806279
56.329372,81,692.615713
18.483891,71,693.541224
92.998451,71,695.4467
0.0,87,696.198014
162.98436,71,697.000713
0.0,89,697.766408
133.841904,71,698.577953
31.360931,71,699.325514
213.375443,71,700.229527
175.767242,71,701.067203
122.328011,71,701.857542
111.386871,71,702.503115
22.10314,71,703.278066
0.0,81,704.130333
0.0,86,704.945373
0.0,78,705.721366
0.0,85,706.454017
14.14827,71,707.283386
0.0,93,708.273205
16.665613,71,709.112286
0.0,87,710.003938
0.0,87,710.93737
110.318871,71,711.844081
0.0,82,712.744973
0.0,104,713.66993
48.909019,71,714.413287
124.789513,71,715.179857
103.793419,71,716.020849
0.0,90,716.833858
0.0,91,717.560755
0.0,105,718.304123
