#{"env_id": "SoccerEnv-v0", "t_start": 1540206777.95462}
r,l,t
54.679404,121,2.273276
214.768743,121,2.968583
174.825682,121,3.673861
0.0,121,4.348209
430.693359,121,5.097117
0.0,121,5.803311
0.0,121,6.536433
0.0,121,7.237902
249.605235,121,7.949657
0.0,121,8.634192
0.0,121,9.416819
260.338551,121,10.145573
0.0,121,10.841304
2.750289,121,11.599117
0.0,121,12.277181
230.961698,121,13.034497
187.66932,121,13.779365
0.0,121,14.485219
53.208321,121,15.20349
0.0,121,15.91618
52.100947,121,16.660634
0.0,121,17.361924
43.52413,121,18.051545
0.0,121,18.736911
67.09041,121,19.492693
257.324896,121,20.184491
0.0,121,20.904598
272.8449,121,21.632626
49.06377,121,22.380802
207.598331,121,23.157449
338.803115,121,23.932596
0.0,121,24.710568
123.477574,121,25.416388
367.546894,121,27.442705
0.0,121,28.121641
0.0,121,28.82793
222.767258,121,29.660928
49.74981,121,30.403964
0.0,121,31.181943
252.102671,121,31.888129
18.816194,121,32.600733
0.0,121,33.307583
0.0,121,33.999595
0.0,121,34.727596
343.27051,121,35.517334
325.223989,121,36.263976
216.765704,121,36.967183
0.0,121,37.713293
0.0,121,38.42489
229.444583,121,39.157848
0.0,121,39.890983
0.0,121,40.556338
80.140207,121,41.251093
0.0,121,41.937097
-1.060306,121,42.648
339.059394,121,43.382383
71.167533,121,44.116687
390.212834,121,44.882504
0.0,121,45.552458
338.43278,121,46.300774
172.196856,121,47.051112
172.291691,121,47.805934
0.0,121,48.519444
-1.840553,121,49.297743
0.0,121,50.010486
0.0,121,50.715069
254.074299,121,51.416753
-0.297109,121,53.011827
0.0,121,53.879052
0.0,121,54.570916
-1.18391,121,55.307882
0.0,121,56.030136
0.0,121,56.741981
119.568562,121,57.452245
370.194681,121,58.21514
0.0,121,58.904865
0.0,121,59.617385
0.0,121,60.316118
0.0,121,61.024324
0.0,121,61.710395
253.060093,121,62.449775
62.654078,121,63.18798
0.0,121,63.879136
408.959311,121,64.633409
0.0,121,65.323703
162.058932,121,66.033717
0.0,121,66.736376
280.971111,121,67.447773
0.0,121,68.136211
1.215639,121,68.896096
232.357899,121,69.64647
0.0,121,70.335492
57.455942,121,71.046716
0.0,121,71.773547
303.585098,121,72.548896
0.0,121,73.242629
0.0,121,74.023761
0.0,121,74.778543
19.793087,121,75.50408
0.0,121,76.267629
0.0,121,76.942373
376.251116,121,78.60138
165.421421,121,79.32779
283.387314,121,80.051885
0.0,121,80.729604
0.0,121,81.429666
0.0,121,82.176564
44.407108,121,82.924762
0.0,121,83.615133
16.739598,121,84.336082
0.0,121,85.012046
449.133266,121,85.70121
0.0,121,86.387341
0.0,121,87.064085
0.0,121,87.782337
0.0,121,88.458576
0.0,121,89.139381
0.0,121,89.859782
0.0,121,90.533879
223.691531,121,91.238908
238.146402,121,91.951535
111.350291,121,92.715872
0.0,121,93.483065
279.800784,121,94.220248
0.0,121,94.934785
0.0,121,95.68346
0.0,121,96.387869
0.0,121,97.059717
0.0,121,97.753108
0.0,121,98.48289
-17.005196,121,99.224023
0.0,121,99.9326
82.591987,121,100.629417
385.859446,121,101.408828
0.0,121,102.086737
15.491412,121,103.556467
0.0,121,104.250652
228.833027,121,105.021424
33.4952,121,105.714918
