#{"env_id": "SoccerEnv-v0", "t_start": 1539816661.2678216}
r,l,t
959.354402,260,2.89015
9.876522,92,3.54636
1080.800289,270,4.749463
1169.442505,260,6.382209
687.836639,260,7.507203
126.293783,190,8.520527
104.168722,180,9.437583
115.703804,180,10.404666
10.091229,94,11.080286
54.600121,170,12.026385
619.542089,250,13.113275
2594.130442,300,14.401732
668.765322,260,15.531042
2858.950578,300,16.81906
320.366187,200,17.903749
1340.551104,270,19.074442
9.080384,78,19.7583
181.925703,210,20.746337
8.26622,77,21.370744
9.554488,89,21.999981
88.105935,180,24.163434
9.983876,93,24.834654
8.536277,74,25.492162
10.198583,95,26.206
9.339755,87,26.95994
1251.040111,230,28.048229
593.4257,250,29.180311
2350.119711,290,30.433415
10.035893,87,31.107023
10.100138,94,31.84937
1044.361229,240,32.937734
998.2837,250,34.064926
9.125048,85,34.682302
1643.742085,280,36.287316
570.692715,260,37.427107
667.572359,260,38.613739
2800.893149,290,39.796073
1136.014661,240,40.900648
2183.471438,280,42.075953
2830.701787,290,43.274693
598.315686,250,45.270775
798.630379,250,46.419619
1523.386985,280,47.714882
670.045947,250,48.904977
481.820965,230,49.97164
12.130946,113,50.694525
1732.286933,280,51.974742
1439.315752,280,53.217585
160.241509,180,54.157122
1009.206539,230,55.224294
1077.894556,270,56.416129
719.66041,250,57.551564
571.208792,250,58.713872
8.910341,83,59.425496
7.836806,73,60.017653
857.536655,260,61.266456
9.125048,85,62.138376
9.39731,81,63.301832
959.026975,230,64.670874
747.200957,260,66.181894
10.612669,92,67.111944
275.609482,200,69.538036
1132.222786,260,70.925855
574.145422,210,72.240405
126.753652,200,73.363083
69.938652,160,74.304272
12.112285,105,75.049429
177.484982,200,76.166443
877.712215,250,77.380507
9.983876,93,78.065713
9.661815,90,78.771131
8.58828,80,79.434649
727.852083,260,80.615786
10.381959,90,81.347054
9.447108,88,82.083207
9.232402,86,82.692714
1693.165616,250,83.796616
196.044793,180,84.715075
12.555113,107,85.418136
885.98793,250,86.51905
796.486793,260,87.739475
877.405806,250,89.045346
1576.858329,250,90.218578
783.9117,250,92.220157
891.886748,230,93.261751
10.214022,91,94.002931
8.802987,82,94.721208
1232.854883,240,95.794684
647.715552,250,97.366748
2139.700441,280,99.503408
215.706037,200,101.050519
835.874755,260,102.724506
54.981724,160,104.422018
1195.156556,280,106.309452
9.661815,90,107.405672
2985.678422,290,109.434202
38.207827,140,110.686693
8.802987,82,111.718346
11.304799,98,112.894867
947.353166,250,114.671637
1260.316236,260,116.853822
821.834891,270,118.679451
102.241577,200,119.748164
1325.429191,260,121.127886
1386.476484,240,123.391535
1484.849594,250,124.993773
316.56847,200,126.117345
9.689828,84,127.123148
1890.804215,280,128.783581
10.091025,86,129.651201
705.615847,250,130.797694
1097.986422,240,131.871387
1172.324465,260,132.985223
9.504338,81,133.862212
1568.646827,260,135.36131
1060.157618,260,136.52157
140.930611,180,137.466608
351.615362,210,138.502326
552.738886,250,139.584235
1447.900842,250,140.68023
748.887018,250,141.772248
708.189955,250,142.86921
1112.46906,270,144.166173
950.560561,250,146.558128
10.41329,97,147.328823
1330.150986,250,148.607049
2714.788478,290,150.215128
1202.722689,240,151.94617
12.989774,121,153.099735
1372.492488,260,154.504412
10.214022,91,155.430567
1221.326239,250,156.91138
9.459118,82,157.647454
2139.187226,280,159.031956
8.61935,79,159.696224
8.882342,77,160.384953
45.648479,150,161.617668
11.594178,108,162.559805
601.167733,260,163.785458
701.277349,260,164.956448
9.232401,86,165.614415
9.091602,81,166.296894
2505.636987,290,167.498814
8.802987,82,168.121918
1198.587487,250,169.275018
12.989774,121,170.035659
945.691009,260,171.900388
159.244237,180,172.871874
230.97984,230,173.933558
185.401545,190,174.860694
749.946672,260,175.991829
8.58828,80,176.605969
1430.04955,270,177.771355
2312.78873,280,178.975219
1771.954274,280,180.160541
10.10178,90,180.873792
2079.399731,280,182.05852
9.554462,89,182.721079
620.821302,250,183.806633
9.983876,93,184.525383
1035.084327,270,185.663228
582.337436,250,186.848906
78.087464,190,187.786956
10.326264,92,188.454978
10.198583,95,189.11786
9.983876,93,189.887476
9.339755,87,190.551873
9.125073,85,191.183274
9.554462,89,191.800043
1277.350884,270,193.732016
9.554462,89,194.407566
141.158099,180,195.296494
1176.374485,260,196.42924
1289.899098,270,197.558253
8.582091,80,198.20218
165.226069,190,199.111809
1742.038751,260,200.298886
1982.541585,280,201.475916
742.259419,260,202.601529
1245.856719,240,203.666681
122.854596,180,204.549827
9.722537,89,205.275729
9.339755,87,205.925265
9.876522,92,206.663028
109.458757,180,207.589112
786.029944,250,208.729771
2671.886727,290,209.952535
1355.526867,280,211.149313
2344.686291,280,212.315576
8.58828,80,213.719959
1616.918217,250,214.861154
2447.110631,290,216.050761
10.091229,94,216.734746
10.091229,94,217.37044
307.896825,190,218.29804
1100.250586,240,219.415528
599.052376,260,220.583328
1620.624061,270,221.830616
703.341062,260,222.976972
210.259709,190,223.889868
1713.057441,280,225.049444
8.910341,83,225.678981
1391.449898,240,226.84584
578.520117,250,228.081147
8.58828,80,228.747856
242.701128,200,229.731384
800.125019,250,230.843099
29.080033,130,231.643859
485.744781,250,232.747275
10.198583,95,233.44809
2903.446001,290,235.443075
8.802987,82,236.096708
806.756339,250,237.211701
793.091705,220,238.219132
9.447108,88,238.942311
8.802987,82,239.584672
10.102533,94,240.375523
10.091229,94,241.04236
2635.629676,290,242.256947
712.809654,250,243.370193
1790.292014,260,244.592223
9.339755,87,245.271178
9.125048,85,245.913925
3859.643219,300,247.191967
133.485362,180,248.05706
1314.503133,250,249.183071
2001.038948,290,250.493248
9.232401,86,251.203755
778.072033,220,252.253416
8.695634,81,252.875397
835.498419,230,253.945751
1820.758554,260,255.075315
1171.504838,270,257.081119
759.828982,270,258.266247
675.93965,250,259.386807
125.028053,190,260.379527
1122.004036,240,261.465216
860.573571,260,262.657001
124.823397,190,263.612297
968.183537,230,264.664222
1911.293626,270,265.81716
2968.579713,290,267.001327
8.480927,79,267.656646
9.983876,93,268.38675
1134.212792,240,269.437217
10.233941,90,270.109284
9.017694,84,270.733132
1271.165212,240,271.798301
1105.559635,240,272.862239
963.885356,250,273.940252
2697.373062,290,275.140718
10.091229,94,275.838118
10.151249,88,277.250546
124.55569,180,278.148204
912.986669,260,279.270989
8.695634,81,279.940065
128.429136,180,280.850966
424.7005,200,281.869891
1180.286876,240,282.961237
982.140534,250,284.041935
10.73535,100,284.757661
952.823709,230,285.810175
126.627709,180,286.773129
3282.599249,300,288.045396
1217.100241,250,289.131074
8.695634,81,289.802546
9.276979,87,290.55517
9.339755,87,291.200481
1531.529486,250,292.346537
2175.668936,280,293.537875
19.486141,140,294.312576
990.236388,230,295.360715
10.41329,97,296.098164
10.091229,94,296.811985
909.769327,230,297.856529
9.769169,91,299.372587
1218.260435,260,300.471335
3235.579416,300,301.7566
9.017694,84,302.416147
842.123236,250,303.532288
2968.408314,300,304.792027
9.232401,86,305.434251
883.295137,250,306.556523
567.006138,250,307.691353
70.640138,170,308.572035
9.765054,87,309.279765
595.470696,250,310.433707
2824.490125,290,311.634961
9.339755,87,312.386468
8.695634,81,313.104251
221.157919,220,314.163725
1244.147599,240,315.235683
2476.349384,290,316.430545
779.204359,260,317.565506
3256.835366,300,319.532495
9.983876,93,320.263943
199.261765,190,321.195253
3032.144034,300,322.487489
1603.715513,270,323.660096
1737.082953,280,324.864386
902.449901,250,325.97419
1015.889758,260,327.134562
11.379471,106,327.893397
861.73629,250,329.011449
930.028901,250,330.113438
717.100978,220,331.184669
834.040945,250,332.272691
170.166037,220,333.272786
567.153875,250,334.422772
2956.087022,290,335.659214
1020.208767,230,336.677998
1006.594053,230,337.732546
8.695634,81,338.353058
9.554462,89,339.869052
9.017694,84,340.500137
1061.876897,250,341.594321
1825.307867,270,342.714505
1213.937539,270,343.90265
775.335616,260,345.013266
8.479712,79,345.700899
2732.682452,290,346.938323
1197.256346,240,348.065232
9.54057,85,348.764498
9.339755,87,349.40593
1711.915178,270,350.555072
8.695634,81,351.168578
442.073366,250,352.299691
2697.368418,300,353.550195
127.446263,180,354.451321
979.535081,250,355.551414
12.804416,111,356.269854
1030.019387,260,357.409465
9.232401,86,358.04186
1776.707055,290,359.248127
9.017694,84,360.685179
210.600132,190,361.635414
1570.930928,270,362.783867
10.214022,91,363.501835
326.907543,240,364.595395
843.257704,250,365.707367
3263.484131,300,366.942937
9.554462,89,367.611013
1189.479566,240,368.688112
1041.980734,260,369.912871
694.106399,220,370.944893
9.125048,85,371.593345
1787.25772,280,372.760779
136.74232,180,373.710642
1553.381225,270,374.885427
534.529222,260,376.000055
9.339755,87,376.639445
1714.772927,280,377.829885
602.624164,260,378.955298
707.01299,250,380.826431
8.373573,78,381.51762
9.247509,80,382.181454
9.689828,84,382.838551
8.472005,79,383.533724
9.876522,92,384.178865
8.910341,83,384.844892
1979.169102,280,386.04833
8.480927,79,386.656763
1188.330437,280,387.816957
1374.533989,240,388.912118
160.983638,220,389.946486
1224.690738,250,391.06526
10.035893,87,391.707999
413.426867,250,392.816848
670.020025,260,393.948545
1690.21485,270,395.105382
345.014637,200,396.081811
9.876522,92,396.776934
8.387152,78,397.472679
1813.448666,280,398.669544
776.921296,220,399.764919
8.802987,82,400.418268
2881.847994,290,401.678133
407.59785,200,403.404787
860.130481,250,404.496768
824.398463,260,405.642886
1470.327122,250,406.740974
2230.528322,290,407.933328
9.232401,86,408.582724
216.887143,190,409.492358
1463.457673,250,410.605298
9.447108,88,411.256299
680.282412,250,412.409274
9.125048,85,413.150206
43.760548,150,414.006265
9.876522,92,414.730488
1847.494019,270,415.873368
8.373573,78,416.526572
8.802987,82,417.16782
1298.117667,240,418.208294
8.802987,82,418.847686
8.158889,76,419.510393
1139.870143,260,420.628448
8.695634,81,421.263784
570.398531,250,422.382878
1199.059666,260,423.516976
2924.667321,300,425.480036
1745.715186,250,426.53292
674.776494,260,427.676328
977.283003,250,428.792253
2244.701387,290,430.066899
8.97936,80,430.699988
1231.299901,260,431.828217
236.08903,200,432.846188
2781.660334,290,434.05695
12.342995,107,434.762836
2612.952112,290,435.959738
598.874295,250,437.071868
8.910341,83,437.677974
10.198583,95,438.407567
933.7144,250,439.55009
1247.360205,240,440.59265
1056.157778,260,441.699763
1239.765547,250,442.814779
286.884559,220,444.610123
262.671814,200,445.601653
9.689828,84,446.222245
478.911869,250,447.326646
8.799781,81,448.022693
8.910341,83,448.696985
961.639108,230,449.739965
997.265474,240,450.814285
982.740449,230,451.900012
2488.731149,290,453.106151
1644.711502,250,454.185296
1928.530778,280,455.348179
1164.695525,240,456.442065
1124.939305,260,457.603353
935.145658,260,458.812837
261.155474,210,459.84747
1104.06927,240,460.951016
1203.218064,240,462.01934
9.554462,89,462.773327
8.885925,83,463.432164
2478.255789,290,465.412486
2841.382077,290,466.613436
9.125048,85,467.277979
1035.499316,260,468.418541
9.983876,93,469.12114
2822.93687,290,470.322719
68.800218,160,471.207178
39.171254,140,471.988331
183.679816,210,472.9553
2016.84916,280,474.16591
8.801026,82,474.886081
131.93126,220,475.916799
1412.451098,260,477.039726
157.063085,190,477.966352
1119.51923,260,479.068991
545.252459,250,480.15019
926.05276,230,481.246603
985.313887,230,482.263414
140.918839,220,483.313972
982.194396,250,484.439411
153.247077,180,486.075975
8.802987,82,486.777233
9.983876,93,487.464942
1445.704509,250,488.544192
14.379434,100,489.211312
9.232401,86,489.922582
3139.779915,300,491.196182
786.550975,260,492.331413
1174.81133,240,493.360667
2144.794823,280,494.532913
8.695634,81,495.181623
10.091229,94,495.853414
909.077157,260,496.981874
964.182476,250,498.078045
806.978246,230,499.136788
8.691779,81,499.838187
800.009844,250,500.966435
1918.8659,280,502.182372
8.480927,79,502.831288
156.451815,190,503.786476
878.755405,260,504.94354
1678.946857,280,506.874191
126.411289,200,507.853294
2261.211803,280,509.02563
8.480927,79,509.633409
184.45269,190,510.546092
8.480927,79,511.17592
8.695634,81,511.839656
9.538608,82,512.506145
8.802987,82,513.146432
675.28272,240,514.220552
568.785917,250,515.335166
1398.369116,270,516.498926
1029.899705,250,517.598866
930.826414,260,518.738153
27.812295,130,519.58939
2773.690865,290,520.819706
1567.827841,280,522.029204
1036.375166,260,523.135372
90.870896,190,524.042433
9.983876,93,524.728743
800.79315,250,525.814233
384.724136,230,527.715411
1008.852371,250,528.886314
11.379471,106,529.588503
9.125048,85,530.233624
8.910365,83,530.91776
8.480927,79,531.537322
2005.620307,280,532.702745
9.661815,90,533.424674
2091.466755,280,534.60197
1339.662218,270,535.783774
246.579167,200,536.771846
597.560054,250,537.884531
935.777487,230,538.91819
1711.79702,260,540.05246
947.33141,250,541.125785
1321.039198,280,542.300474
178.809715,210,543.266637
9.232401,86,544.052942
925.268955,250,545.138579
1847.699684,290,546.364257
2865.252483,290,548.387599
911.401158,220,549.44714
2080.019598,280,550.636016
139.171912,200,551.754578
9.339876,80,552.453687
8.58828,80,553.123922
1176.191638,250,554.213398
506.481886,250,555.301946
8.695634,81,555.908839
2007.689266,280,557.067978
1023.837503,250,558.146464
1055.428226,240,559.222668
8.802987,82,559.851629
955.320571,260,561.000028
2893.377347,290,562.232852
50.940339,170,563.126027
1513.438389,260,564.290328
2636.8146,290,565.492941
8.910341,83,566.206796
1525.525304,260,567.355009
1303.76189,240,569.289705
9.997171,93,570.010159
9.447108,88,570.688364
11.916239,111,571.409213
8.802987,82,572.026482
9.876522,92,572.688304
11.164795,104,573.379202
961.74789,260,574.519524
796.294869,260,575.671895
9.447108,88,576.391959
-4.507088,140,577.241685
1275.254329,270,578.407855
1831.47684,270,579.634483
9.459118,82,580.281195
2029.293191,280,581.472367
10.091229,94,582.179806
1257.188704,260,583.303214
80.593605,160,584.183542
445.913527,210,585.173477
1344.12136,260,586.272466
136.969739,190,587.19686
671.422132,250,588.313098
941.50463,260,589.459639
912.760387,260,591.323275
984.408381,260,592.45006
2160.366755,280,593.648189
1020.621371,260,594.793292
658.715997,260,595.918059
9.554462,89,596.599844
534.511997,250,597.703472
911.768065,240,598.789799
326.921433,210,599.825262
9.876522,92,600.487313
1538.865342,280,601.673757
1049.362083,240,602.734429
820.914209,250,603.81349
313.039451,240,604.923667
-23.370101,170,605.808163
9.428328,84,606.495426
9.661815,90,607.198
2296.613316,290,608.393006
439.611841,200,609.467513
9.017694,84,610.127104
287.290427,230,611.946106
1022.050381,260,613.113043
666.474631,250,614.166921
9.876522,92,614.834068
25.269771,130,615.651587
8.802987,82,616.344188
146.359916,190,617.283368
1123.342186,240,618.342394
764.101681,220,619.362129
9.125048,85,620.02383
977.881565,250,621.08531
2632.601197,280,622.282333
9.232401,86,622.945976
10.520643,98,623.68924
988.913825,260,624.794808
1358.138943,260,625.904608
467.541595,210,626.877622
8.802987,82,627.510528
688.520541,220,628.577342
10.520643,98,629.291783
1318.327364,240,630.343381
9.54057,85,630.981614
1321.411739,250,632.845265
2238.827105,280,634.030495
447.774389,250,635.153095
701.678607,250,636.260953
9.661815,90,636.956963
123.226528,180,637.865845
136.624705,180,638.764732
225.311695,230,639.885366
163.105941,210,640.861857
1214.280888,270,642.033552
776.924407,220,643.042647
10.198583,95,643.715242
220.242649,190,644.650482
1325.113801,250,645.784278
10.090993,94,646.510248
815.120202,260,647.624113
8.695634,81,648.245368
1046.853641,240,649.360336
1353.410938,240,650.406286
849.125375,260,651.537523
589.689767,250,653.50642
1257.479138,270,654.646134
116.28381,170,655.544029
9.554462,89,656.263525
749.615622,250,657.391763
599.538886,250,658.487712
7.514745,70,659.088606
122.143955,180,660.087207
331.236918,200,661.063128
12.238299,114,661.86964
8.695634,81,662.52755
449.751404,210,663.508574
1215.507102,260,664.591478
2569.47523,290,665.825732
990.336407,230,666.879617
1372.266022,240,667.980304
9.661815,90,668.685072
8.58828,80,669.455036
9.316086,83,670.158785
73.446005,170,671.064959
7.836806,73,671.677078
806.950751,250,672.844697
9.017694,84,673.560667
2267.662307,300,675.565522
1537.967834,250,676.667011
10.497314,91,677.381893
1189.19914,240,678.458619
1773.123281,270,679.621405
938.347959,260,680.793636
860.934988,260,681.961163
3097.91005,300,683.249733
8.910341,83,683.894098
563.774753,250,685.03019
