#{"env_id": "SoccerEnv-v0", "t_start": 1540121950.6784663}
r,l,t
650.799452,30,2.420685
47.575617,2,2.944595
271.668745,12,3.6727
780.402916,37,4.22017
397.394442,18,4.696847
670.831853,32,5.236843
938.483567,45,5.839012
354.014318,17,6.374968
678.080784,32,6.910554
903.75819,43,7.413194
142.494396,7,7.958142
156.092894,7,8.622979
885.248116,41,9.148848
661.247448,31,9.656193
915.904192,43,10.217111
701.833691,33,10.732258
132.779909,6,11.255127
128.455124,6,11.788159
1329.084474,62,12.470467
487.135226,23,13.021164
552.403316,26,13.565825
46.500595,2,14.106328
45.709835,2,14.654492
447.115677,22,15.262856
733.755348,36,15.813418
772.841738,37,16.387346
835.353266,37,16.963589
646.58621,29,17.512125
668.955488,31,18.110177
575.469164,27,18.695807
1330.430641,62,19.281204
1203.750463,56,19.876712
955.723772,46,20.41155
751.860253,36,21.072394
852.848362,40,21.729733
178.463778,8,22.273847
172.06679,8,22.838099
730.625769,35,23.430312
730.773855,34,23.98181
640.413919,30,24.553883
711.772387,34,25.151437
1101.123384,51,25.688269
1271.140211,59,26.290808
640.116344,30,26.813704
629.749249,30,27.347072
885.634415,42,27.870094
969.226816,45,28.375738
811.841381,39,28.980942
1874.169413,82,29.805345
652.988199,31,30.702911
1066.22127,51,31.69406
112.366602,5,32.473312
967.261683,44,33.373345
1137.981615,54,34.232792
1145.96903,54,35.05417
2209.991337,101,36.008085
619.467066,30,36.713643
42.477833,2,37.303036
545.22678,26,37.988524
412.710381,20,38.646105
70.269625,3,39.193857
68.11178,3,39.773933
1299.743761,60,40.431848
1192.531675,56,41.050164
815.51881,38,41.642005
709.223852,34,42.279872
666.264795,32,42.904672
182.106562,8,43.498944
826.365471,39,44.137256
772.297474,37,44.692892
515.563347,24,45.25469
596.852781,29,45.922595
252.142588,12,46.570962
1291.292917,61,47.325014
203.627308,9,47.951363
208.607727,9,48.596159
692.615681,32,49.199836
818.623112,38,49.851117
884.865656,42,50.575124
624.13125,30,51.228675
557.465776,26,51.816693
1082.540876,51,52.396061
1027.785051,49,53.017001
819.901836,39,53.641287
176.421814,8,54.273658
179.87455,8,54.814616
169.876642,8,55.553913
528.940969,24,56.418382
1000.479736,47,57.276501
884.394003,42,58.03551
240.463877,11,58.944162
1029.249685,48,59.708942
754.221786,35,60.356015
197.587488,9,61.004502
207.296593,9,61.643625
1064.035482,49,62.243072
707.669664,34,62.761062
1368.966728,64,63.5434
1088.212603,50,64.519084
981.899883,46,65.31547
1239.691008,58,65.895787
635.575405,30,66.486588
674.884928,32,67.110317
899.436016,42,67.70132
224.555031,10,68.243573
220.535074,10,68.759645
862.310579,40,69.366553
826.072424,39,70.003565
718.129131,33,70.568142
231.540346,10,71.090729
234.518087,10,71.627408
776.796211,36,72.2634
662.622381,33,72.975749
754.945353,36,73.521266
201.811331,9,74.193036
207.235079,9,74.695286
227.558672,10,75.209796
208.304218,10,75.757619
1073.716909,52,76.414595
733.073814,34,77.112171
1259.901505,61,77.788902
1070.953188,50,78.403406
133.81608,6,79.026869
122.648083,6,79.625389
116.269476,5,80.175422
114.190548,5,80.718589
633.826744,30,81.326692
727.889385,35,82.059807
663.563903,33,82.837829
501.397655,24,83.518758
84.109142,4,84.106424
91.37586,4,84.743151
893.930174,42,85.405394
821.281952,38,87.780715
1091.078508,51,88.428589
524.716699,24,88.999333
693.257956,32,89.604639
1113.84075,53,90.306087
433.430584,21,90.903282
439.468624,21,91.405745
571.317482,27,92.013114
327.270367,16,92.484688
863.038485,41,93.066217
880.071272,41,93.662162
278.277206,13,94.186997
898.321928,43,94.777562
727.369883,34,95.31439
1060.766573,50,95.884224
951.294653,45,96.39175
634.154524,30,96.870685
689.024914,32,97.3699
41.939425,2,97.91748
45.47843,2,98.509611
215.303783,10,99.074591
227.787342,10,99.624858
795.885965,37,100.152122
434.72414,21,100.682266
1112.078671,49,101.326825
950.827385,42,101.998603
290.300383,14,102.59186
