#{"t_start": 1536885855.6788175, "env_id": "SoccerEnv-v0"}
r,l,t
98.220091,76,1.059472
90.589017,76,1.346666
131.282405,96,1.653224
194.327049,96,1.858549
109.460913,96,2.07995
125.696715,96,2.296255
128.225036,96,2.651526
179.34152,128,3.126683
145.68598,128,3.518152
562.012675,76,3.9214
558.709298,76,4.278558
96.799578,76,4.639833
148.856281,104,5.031237
124.509311,104,5.408817
128.707857,98,5.842759
154.485772,98,6.307614
192.795943,104,6.72675
159.977307,104,7.146957
187.041569,104,7.563756
286.172455,126,7.990789
253.792532,126,8.402775
132.632684,140,8.803082
185.541495,140,9.220465
222.510019,140,9.629738
132.569115,102,9.999173
152.456041,102,10.374735
153.298543,150,10.75978
232.533648,150,11.16479
214.133768,150,11.573533
561.524004,76,11.966963
581.47994,76,12.357146
153.878945,102,12.775112
124.78005,102,13.15322
155.837392,102,13.549576
596.623892,81,13.933187
582.116749,81,14.346128
175.926821,113,14.743492
169.691636,113,15.167832
163.391663,113,18.516907
148.03945,146,18.852861
190.300058,146,19.197137
188.460766,146,19.474976
94.437407,78,19.730208
97.477659,78,20.044793
89.519413,78,20.305825
71.171114,78,20.548327
134.608148,118,20.83303
140.069607,118,21.091043
166.820442,118,21.375751
153.540474,111,21.652664
144.341561,111,21.933749
136.58502,111,22.185301
162.806459,111,22.425751
155.79338,115,22.700376
234.08393,115,23.018739
144.700505,115,23.294255
162.737421,115,23.579215
133.882145,115,23.868589
152.066588,115,24.294663
184.447839,115,24.722945
598.314258,88,25.117212
634.77298,88,25.512187
155.906869,109,25.904997
143.944069,109,26.316713
151.045311,95,26.712379
144.88948,95,27.094666
135.355028,95,27.496317
614.810434,83,27.894758
598.013105,83,28.291158
604.038403,83,28.699985
139.094578,117,29.123795
164.032362,117,29.52876
99.322146,76,29.900105
565.972459,76,30.30739
206.572699,97,30.715947
122.958832,97,31.118598
197.054912,97,31.509618
194.351405,128,35.911875
148.341982,90,36.090606
127.197083,90,36.274067
116.292508,90,36.466689
147.961413,110,36.669177
102.927243,110,36.928485
157.393555,110,37.147782
146.068578,110,37.366477
188.947933,117,37.60748
172.674159,117,37.836691
93.636181,117,38.053519
215.196617,117,38.260231
146.48346,117,38.463743
107.584528,109,38.671372
114.361462,109,38.882049
210.938337,109,39.160048
136.59651,109,39.401512
84.867722,82,39.63615
115.298336,82,39.846791
100.518536,82,40.067245
110.634245,82,40.263654
117.944688,82,40.448698
184.988848,145,40.748499
173.580792,145,41.077688
226.426216,145,41.352183
119.132008,114,41.60112
149.965625,114,41.816352
117.13975,114,42.074075
171.1193,114,42.432515
187.51813,110,42.869964
116.001657,110,43.261028
162.079236,110,43.680741
206.92406,117,44.11499
117.800939,117,44.527647
131.836148,130,44.925523
170.101727,130,45.350757
200.249872,117,45.775823
202.747577,117,53.276437
159.833632,103,53.475098
110.377909,100,53.693326
88.390999,100,53.912971
207.448242,100,54.122743
138.648647,100,54.313398
156.05187,100,54.512256
192.385753,137,54.761126
184.415152,137,54.989396
197.791134,137,55.236306
236.23404,137,55.519665
238.641787,131,55.76189
178.167492,131,56.019988
177.410919,131,56.241119
189.01835,131,56.488902
143.503644,104,56.700664
211.282209,104,56.94898
118.607072,104,57.148265
155.824606,104,57.387067
190.640546,145,57.67112
155.015226,145,57.923542
292.308623,145,58.15906
167.918218,145,58.407967
136.830209,87,58.604228
124.198195,87,58.807237
103.581291,87,58.998044
116.36056,87,59.234998
127.536765,87,59.454678
176.156046,151,59.749888
189.314226,151,60.065925
173.757189,151,60.35242
186.828622,137,60.630214
169.983148,137,60.889286
115.024319,137,61.179867
297.388718,137,70.519741
85.294121,77,70.755278
107.6036,77,70.979263
113.620699,77,71.223491
99.91954,77,71.426112
100.721896,98,71.639259
140.111117,98,71.881733
110.110313,98,72.117057
117.657388,98,72.394768
97.156984,100,72.711784
134.64747,100,72.935027
146.91713,100,73.155797
107.766995,100,73.361398
136.8028,91,73.569066
89.629558,91,73.775299
98.839401,91,73.959746
97.964126,91,74.173333
129.142596,91,74.376729
157.08067,120,74.616978
100.391761,120,74.91509
189.002277,120,75.202614
203.500042,120,75.462039
123.354005,105,75.748893
161.3532,105,76.007518
102.576643,105,76.227594
135.060762,105,76.444739
159.41142,147,76.753123
172.114516,147,77.03437
215.481652,147,77.371803
105.013197,97,77.620311
