#{"env_id": "SoccerEnv-v0", "t_start": 1537032905.250301}
r,l,t
270.133462,129,5.411595
293.61318,129,5.744136
302.781781,134,6.082277
268.501619,134,6.449683
250.66124,134,6.828268
194.275312,94,7.186555
220.349112,94,7.492597
199.239809,94,7.801601
151.009062,77,8.141053
157.422121,77,8.344063
154.255932,77,8.565666
177.239416,77,8.811346
222.636075,109,9.082823
230.729856,109,9.29622
233.703291,109,9.530188
272.872289,109,9.771624
240.882725,100,10.035854
211.752163,100,10.269468
242.515798,100,10.531057
204.089332,100,10.771481
239.009727,110,11.041443
248.377201,110,11.285225
256.033217,110,11.560778
220.97004,110,11.947425
249.464263,113,12.34183
269.668823,113,12.746769
278.973863,120,13.163632
294.966265,120,13.600531
286.445742,120,14.001008
258.676711,115,14.418456
286.106149,115,14.841007
515.433042,108,15.266298
248.783584,108,15.703013
452.325266,108,16.122235
313.117616,128,16.552431
287.322694,128,16.960336
286.509438,125,17.363749
1061.518848,125,28.974378
269.578427,127,29.236809
254.772172,127,29.506757
257.603964,127,29.834121
152.796958,77,30.136508
155.033165,77,30.354357
153.700834,77,30.568145
150.306819,77,30.779827
185.353904,89,30.997804
183.86114,89,31.219122
182.570902,89,31.472167
186.722503,89,31.712877
202.615924,89,31.962231
226.912892,107,32.224237
247.164629,107,32.493947
216.10816,107,32.745228
270.84047,135,33.007222
305.296026,135,33.265832
274.49423,135,33.525254
269.851438,135,33.798387
266.861217,134,34.060217
269.041416,134,34.327452
283.451308,134,34.613696
301.003386,134,34.898168
280.544332,121,35.152338
298.431409,121,35.447884
282.713868,121,35.71749
245.917683,121,35.982939
385.344175,151,36.312956
328.700592,151,36.660468
280.611205,151,36.987191
299.608754,133,37.302579
267.313745,133,37.599851
277.661914,133,37.904832
199.920433,98,38.116345
234.637287,98,45.214818
280.261826,140,45.458313
270.077891,140,45.72322
319.646949,140,46.012559
192.379499,100,46.241923
230.895089,100,46.465535
237.499426,100,46.7333
228.90243,100,46.965248
273.870362,131,47.381191
318.210134,131,47.811864
161.257329,78,48.165274
155.874529,78,48.428182
157.007811,78,48.662475
158.226242,78,48.892416
194.83104,95,49.20769
195.898559,95,49.505219
192.808153,95,49.721121
205.747152,95,49.948615
297.825885,120,50.207368
261.161523,120,50.467083
290.580901,120,50.687118
260.479365,120,50.927225
187.124082,91,51.127537
189.168455,91,51.336175
203.617514,91,51.553713
186.967013,91,51.769144
303.176572,149,52.083742
300.127471,149,52.445375
304.216204,149,52.789773
308.802046,117,53.084216
238.910964,117,53.326722
235.355713,117,53.637196
231.107996,117,53.86146
156.768898,76,54.070099
151.479318,76,54.259443
148.280293,76,54.461779
179.792668,76,54.684576
152.84027,76,54.878211
301.35535,147,61.271111
282.633901,135,61.514073
299.194056,135,61.800214
208.647669,103,62.027338
208.593269,103,62.308247
242.916764,103,62.611328
205.704693,103,62.951404
167.236249,81,63.227254
161.729542,81,63.499238
166.195666,81,63.705923
171.916396,81,63.919564
223.214617,110,64.233282
222.965681,110,64.514215
230.778191,110,64.781951
266.167785,134,65.045105
277.842857,134,65.347081
272.711999,134,65.645034
269.238663,134,65.958906
194.664602,96,66.272785
197.342195,96,66.505708
202.700548,96,66.757177
321.495791,151,67.117747
325.670191,151,67.472247
305.047265,151,67.833898
195.588875,95,68.08014
209.769461,95,68.326111
195.193781,95,68.5832
186.841562,95,68.882576
248.680513,111,69.181662
283.966563,111,69.491569
231.282537,111,69.804149
167.274035,79,70.053377
172.957933,79,70.291156
187.909805,79,70.512247
177.412525,79,70.767167
241.41089,120,71.1303
245.80024,120,71.439179
240.861874,120,71.793513
248.066561,107,79.192717
196.717594,95,79.481272
216.430274,95,79.744099
221.448463,107,80.017935
216.177584,107,80.300035
205.510966,107,80.605716
223.27796,107,80.855953
315.544628,151,81.194173
374.802251,151,81.566239
421.32959,151,81.90908
207.685917,94,82.161203
225.284097,94,82.455533
243.028701,94,82.718926
207.272273,94,82.951401
297.812145,124,83.231443
290.967713,124,83.528787
281.651361,124,83.850083
258.079288,120,84.142238
