#{"t_start": 1539128008.4951086, "env_id": "SoccerEnv-v0"}
r,l,t
433.184425,151,10.717314
330.425905,151,11.957427
625.43751,151,12.903581
298.24299,151,13.640558
373.473579,151,14.175552
410.258528,151,14.922559
404.608068,151,15.649965
323.594931,151,16.65469
296.054809,151,17.708782
429.678787,151,18.788123
314.162472,151,19.757849
312.400656,151,20.74216
325.665804,151,21.699934
386.049736,151,22.705984
2112.657888,151,23.740824
321.412412,151,24.73499
488.701531,151,25.766543
459.484719,151,27.051806
341.458039,151,27.959842
317.733687,151,28.980083
292.701166,151,29.963904
279.551717,151,30.907145
347.13984,151,31.847513
317.687663,151,32.819338
288.511286,151,33.731748
495.596624,151,34.750729
338.632984,151,35.7393
5220.867344,151,47.652851
436.057935,151,48.193092
344.589272,151,48.721416
362.185119,151,49.303581
464.814117,151,49.858594
519.923232,151,50.394536
476.105577,151,50.966535
406.287603,151,51.530338
437.566892,151,52.141604
209.160891,151,52.905932
336.89313,151,54.086643
333.066672,151,55.118484
331.710278,151,56.071083
512.792205,151,57.077848
309.99045,151,58.008713
331.536693,151,58.921904
336.391507,151,59.900228
326.897305,151,60.893652
347.453881,151,62.099459
409.047062,151,62.98026
341.562911,151,63.986867
550.927949,151,65.033174
590.492064,151,66.028374
317.188686,151,67.021076
1088.540582,151,68.278625
333.019628,151,69.124159
330.384923,151,70.109157
355.764829,151,77.516661
315.877711,151,78.068537
329.052197,151,78.694239
390.247141,151,79.250088
299.157809,151,79.850804
474.637554,151,80.395803
624.807058,151,80.918636
341.232439,151,81.590936
462.105607,151,82.332337
372.344064,151,82.999662
384.976952,151,84.00512
309.429594,151,85.03669
311.190042,151,86.300306
301.066707,151,87.12123
463.659567,151,88.048655
181.481032,151,88.946182
327.338124,151,89.880289
307.329565,151,90.823449
376.818455,151,91.768228
406.890007,151,92.74947
329.809259,151,93.766487
445.020321,151,94.752005
326.60542,151,95.693998
319.854843,151,96.659245
314.630141,151,97.664671
314.848481,151,98.661218
331.806853,151,99.598544
163.432816,151,107.642445
327.49802,151,108.184264
363.671494,151,108.753711
365.565324,151,109.341897
300.3418,151,109.897552
625.704957,151,110.474562
387.066785,151,111.026986
473.693513,151,111.650633
572.098256,151,112.250881
312.32584,151,112.976422
354.885645,151,114.04605
283.425715,151,115.016465
289.373418,151,115.920177
309.056388,151,116.860767
366.620379,151,117.823731
309.541002,151,118.755641
468.021546,151,119.799353
329.953956,151,120.83607
541.413002,151,121.84816
613.229779,151,122.885933
305.442903,151,123.919294
329.010384,151,124.894785
303.174842,151,125.885064
319.291038,151,126.868747
342.947723,151,127.866751
310.978322,151,128.803356
367.336218,151,129.774268
324.201776,151,137.217482
351.083125,151,138.09655
317.265853,151,138.810895
440.173302,151,139.484025
282.751535,151,140.145763
420.825058,151,140.819602
385.315239,151,141.503246
405.965179,151,142.248485
352.736619,151,142.943753
324.382554,151,143.766767
348.775279,151,144.762396
354.881743,151,145.782774
963.494995,151,146.812249
355.326479,151,147.842814
310.030128,151,148.810935
323.640362,151,149.765241
336.037793,151,150.760863
303.131362,151,151.756582
361.056872,151,152.77217
642.500706,151,153.778018
291.927881,151,154.793922
295.071014,151,155.795593
334.346721,151,156.837189
338.569904,151,157.818608
290.070075,151,158.804618
340.111297,151,159.797643
317.329536,151,160.825138
446.211617,151,167.784995
292.87951,151,168.320934
404.822984,151,168.874538
294.516626,151,169.441967
429.775286,151,170.027768
450.618861,151,170.586295
408.837444,151,171.172043
351.171824,151,171.810632
258.21093,151,172.473545
402.617455,151,173.221608
374.028613,151,174.297832
348.601635,151,175.406836
313.044488,151,176.386846
569.029696,151,177.413074
323.584213,151,178.63334
423.758328,151,179.576741
339.39126,151,180.489412
335.842192,151,181.413492
1166.351054,151,182.441018
327.815519,151,183.466328
326.533019,151,184.419636
1061.436272,151,185.412559
352.307358,151,186.409948
316.941814,151,187.373697
