#{"env_id": "SoccerEnv-v0", "t_start": 1539212476.5543005}
r,l,t
407.443395,151,4.130814
320.958662,151,5.262155
314.025128,151,6.254163
385.782346,151,6.954778
405.462099,151,7.521662
508.044289,151,8.165502
318.806407,151,8.886672
328.039871,151,9.795124
1428.057298,151,10.818372
300.807733,151,11.763277
314.162472,151,12.747571
312.400656,151,13.743078
325.665804,151,14.730236
346.554038,151,15.893356
461.765124,151,16.936414
319.748382,151,18.027354
815.638791,151,18.993847
1601.59399,151,19.983139
296.412242,151,20.958768
317.733687,151,21.903097
359.47693,151,22.896194
279.551717,151,23.873846
347.13984,151,24.836568
308.721355,151,25.98683
465.926075,151,26.99787
329.172378,151,28.104385
338.632984,151,29.093713
268.33812,151,34.589034
429.557461,151,35.476443
443.351556,151,36.305704
961.751824,151,36.877733
385.36995,151,37.680356
301.152805,151,38.683335
792.611637,151,39.666491
575.532227,151,40.648146
301.285806,151,41.663712
313.06209,151,42.669057
336.225001,151,43.712276
396.469246,151,44.662277
389.774245,151,45.67503
286.314008,151,46.631341
1868.98142,151,47.616499
460.855579,151,48.539525
336.900171,151,49.524783
327.070864,151,50.560441
346.980338,151,51.541425
358.851515,151,52.579174
341.808943,151,53.583234
308.088429,151,54.562058
300.760041,151,55.515196
715.33404,151,56.460016
308.585521,151,57.447183
318.849197,151,58.501253
329.412719,151,59.572599
358.297048,151,64.370747
437.712818,151,64.910762
330.960564,151,65.487343
372.772162,151,66.020417
389.845181,151,66.557243
479.651788,151,67.166352
297.202429,151,67.757758
687.74752,151,68.63726
329.32905,151,69.694392
865.897617,151,70.768748
352.771976,151,72.007924
421.156572,151,72.85201
310.208862,151,73.804188
880.853682,151,74.763989
333.690559,151,75.706398
305.598474,151,76.682007
326.994483,151,77.631482
306.681501,151,78.553811
337.552797,151,79.458974
373.157829,151,80.507521
330.17968,151,81.556425
338.971497,151,82.550237
326.360837,151,83.524861
320.363226,151,84.453134
315.425409,151,85.447125
313.691144,151,86.397903
1219.640411,151,87.693158
525.397373,151,95.068069
379.676726,151,95.901465
543.645582,151,96.540828
527.570847,151,97.202419
474.05979,151,97.902844
359.994445,151,98.528251
412.414774,151,99.141479
591.249987,151,99.840979
353.045876,151,100.421218
338.932997,151,100.924897
365.725902,151,101.605465
413.197308,151,102.308874
436.578317,151,103.327479
327.35518,151,104.29948
340.03687,151,105.341942
383.947567,151,106.3491
666.519791,151,107.385422
328.360997,151,108.390911
244.86039,151,109.373274
262.001624,151,110.35365
746.18785,151,111.315681
329.368192,151,112.315218
303.657322,151,113.242429
318.058317,151,114.207483
356.280107,151,115.106802
369.387515,151,116.11202
368.687121,151,117.070713
539.63503,151,124.171332
313.627561,151,124.75169
314.801395,151,125.281993
184.870208,151,125.804394
223.286308,151,126.352321
337.982708,151,126.876006
209.951472,151,127.420628
313.773427,151,127.98051
323.449852,151,128.485194
447.547541,151,129.094027
293.708125,151,129.725914
379.952192,151,130.366455
330.316815,151,131.162799
462.915619,151,132.136662
309.045679,151,133.115745
323.854984,151,134.073633
583.10637,151,135.063119
301.273261,151,136.06679
329.482277,151,137.093606
468.063055,151,138.068764
292.849089,151,139.008925
756.244163,151,139.982467
942.211227,151,141.005171
334.893794,151,141.982049
287.425681,151,142.94311
337.678188,151,143.915752
593.905687,151,144.929612
324.675484,151,153.170997
413.792987,151,153.762359
418.644056,151,154.293618
430.208858,151,154.842457
472.121339,151,155.385921
414.877587,151,155.908568
369.79161,151,156.447628
295.860752,151,156.98087
420.013986,151,157.528691
658.112931,151,158.138999
395.993755,151,158.800625
412.049591,151,159.354996
1073.774145,151,160.17365
316.578656,151,161.165049
420.638287,151,162.171334
428.692097,151,163.16367
339.032388,151,164.111268
335.994828,151,165.051689
669.34408,151,166.030792
500.422848,151,166.979243
324.752629,151,167.91923
1176.602078,151,168.882923
300.516504,151,169.862135
315.556765,151,170.941976
400.850847,151,171.93854
319.162673,151,172.842332
661.478698,151,173.81723
436.194945,151,183.041601
350.889468,151,184.071179
502.164061,151,185.110059
483.95713,151,186.110432
570.037917,151,187.065119
324.986062,151,188.02995
351.732177,151,188.603758
397.503255,151,189.136308
466.013225,151,189.683225
340.035115,151,190.329527
228.380928,151,191.11644
279.172281,151,192.193835
305.502233,151,193.218803
327.80173,151,194.29274
199.886667,151,195.220004
335.301311,151,196.175781
1763.571756,151,197.195928
401.704437,151,198.202285
1210.845294,151,199.13182
848.234896,151,200.115943
589.778923,151,201.155793
338.883844,151,202.198043
379.893329,151,203.316329
388.563492,151,204.301669
457.772731,151,205.28928
315.979856,151,206.311859
665.392915,151,207.514195
274.479642,151,212.429754
329.786051,151,213.404761
285.445416,151,214.583323
350.73986,151,215.755183
304.727575,151,216.880653
355.910833,151,217.576893
315.0558,151,218.083583
345.262206,151,218.698083
467.904738,151,219.420713
313.460822,151,220.20567
295.10529,151,221.225991
380.807991,151,222.218096
374.771191,151,223.215723
733.775608,151,224.150554
443.77755,151,225.093447
293.785156,151,226.006463
505.030762,151,226.999649
594.201666,151,227.961482
454.722833,151,228.926071
749.97085,151,229.925412
319.127627,151,230.895013
331.937754,151,231.780572
305.833169,151,232.758725
341.210814,151,233.723043
332.039526,151,234.648875
496.892217,151,235.632437
383.000001,151,236.671441
290.529967,151,237.661328
566.127129,151,243.206268
441.353812,151,244.394413
332.715502,151,245.631759
375.562237,151,246.865874
311.372589,151,248.097856
324.235278,151,248.875764
486.171064,151,249.410885
394.223477,151,250.007637
305.83765,151,250.6161
440.610372,151,251.275167
383.639727,151,252.094
364.225135,151,253.086672
273.915764,151,254.086486
577.999676,151,255.094252
384.699943,151,256.15574
339.360869,151,257.133833
342.345335,151,258.106225
340.745812,151,259.052235
322.266155,151,260.008006
357.557409,151,260.978996
401.480822,151,261.980631
321.468516,151,263.199458
466.001082,151,264.143008
320.427436,151,265.134384
342.046493,151,266.317006
467.275313,151,267.198804
295.289811,151,268.128701
460.521778,151,272.333162
375.737252,151,273.358758
300.280566,151,274.439155
349.361128,151,275.366038
303.560494,151,275.99607
353.850003,151,276.706767
352.399832,151,277.777189
742.007345,151,278.789115
329.118851,151,279.811591
289.064212,151,280.737846
920.042261,151,281.683538
278.493816,151,282.608456
364.221972,151,283.626965
474.14303,151,284.665397
444.703624,151,285.692908
392.217023,151,286.682457
283.291299,151,287.680695
323.690787,151,288.685556
321.810727,151,289.706277
313.5561,151,290.721283
347.866222,151,291.697873
339.003897,151,292.688463
313.992171,151,293.64084
463.653303,151,294.706757
543.837069,151,295.678748
1949.587425,151,296.639228
314.627039,151,297.618246
310.164978,151,302.426889
315.10838,151,303.487418
362.71069,151,304.137034
421.909762,151,304.742789
306.184242,151,305.702497
248.150099,151,306.897999
334.276411,151,307.780885
230.608242,151,308.806426
620.966282,151,309.845328
402.125292,151,310.884449
317.517335,151,311.887969
349.912303,151,312.884054
292.258552,151,313.923956
470.591315,151,314.916447
