#{"t_start": 1537912021.5977108, "env_id": "SoccerEnv-v0"}
r,l,t
7.062932,151,50.340193
0.0,151,51.461918
0.0,151,52.271703
0.0,151,52.88335
22.860724,151,53.619058
4.482121,151,54.450773
40.956249,151,55.452706
142.373548,151,56.489361
194.732219,151,57.527706
0.0,151,58.56795
50.25059,151,59.551602
112.820704,151,60.520844
0.0,151,61.456028
174.845493,151,62.3881
171.442663,151,63.409947
0.0,151,64.383015
194.211099,151,65.343174
-0.078117,151,66.298814
128.575801,151,67.180634
218.684643,151,68.061467
95.50468,151,68.991755
104.397022,151,69.915847
0.0,151,70.8153
186.251896,151,71.778888
128.356771,151,72.802806
196.04247,151,73.807937
0.0,151,74.734814
0.0,151,78.802997
0.0,151,79.392318
0.0,151,79.978101
18.751226,151,80.604576
0.0,151,81.497772
96.777714,151,82.499006
0.0,151,83.511881
141.450119,151,84.494833
159.615533,151,85.419128
198.338594,151,86.33115
109.773168,151,87.227892
75.496367,151,88.143847
0.0,151,89.12842
94.555151,151,90.118252
173.844806,151,90.994025
135.298875,151,91.908023
188.426114,151,92.807913
147.192993,151,93.739598
0.0,151,94.721318
129.121423,151,95.699696
86.151375,151,96.658059
26.273615,151,97.612674
136.766351,151,98.601406
0.0,151,99.541277
104.455602,151,100.495107
118.117512,151,101.43466
54.53983,151,102.362422
164.924664,151,108.3548
2.386693,151,108.892418
19.255919,151,109.520758
23.083947,151,110.069427
0.230514,151,110.593895
0.0,151,111.088778
1.074895,151,111.762752
3.766072,151,112.367151
12.366768,151,113.110147
163.207569,151,114.128396
168.378845,151,115.138925
37.201736,151,116.114729
0.0,151,117.053277
117.60915,151,118.002789
177.774714,151,119.177867
20.781072,151,120.130135
151.891039,151,121.083111
87.840751,151,121.988644
0.0,151,123.022437
124.229234,151,123.941693
134.473376,151,124.892966
150.485437,151,125.784733
185.980605,151,126.723982
136.352144,151,127.914689
56.003315,151,128.734105
80.040911,151,129.651282
140.364097,151,130.601933
0.0,151,137.855784
0.0,151,138.771407
18.90173,151,139.662441
0.0,151,140.587072
0.0,151,141.485069
35.816702,151,142.190204
2.546585,151,142.773854
24.413923,151,143.432339
42.089111,151,144.100355
163.412835,151,145.031658
113.149051,151,146.016494
0.0,151,147.062024
167.067813,151,148.042805
64.713457,151,149.001815
0.0,151,149.951598
146.232699,151,150.90788
177.709043,151,151.945332
0.0,151,152.942249
178.700334,151,153.915596
173.571651,151,154.920241
-1.104475,151,155.900957
96.062588,151,156.883359
139.314036,151,157.886491
0.0,151,158.880652
