#{"env_id": "SoccerEnv-v0", "t_start": 1539002195.9171393}
r,l,t
9.036975,151,2.005797
0.0,151,2.675032
14.580774,151,3.456062
82.193516,151,4.388725
167.211836,151,5.338863
167.625366,151,6.322619
0.0,151,7.182335
0.0,151,8.028591
21.800135,151,8.946065
0.0,151,9.833777
0.0,151,10.763517
75.792108,151,11.72272
174.058607,151,12.593539
0.0,151,13.477981
152.962342,151,14.397131
204.808831,151,15.324524
166.35455,151,16.25705
81.258158,151,17.225197
145.627807,151,18.237847
71.361288,151,19.289374
115.13416,151,20.201358
95.295521,151,21.124385
167.074499,151,22.168698
94.98669,151,23.206424
151.827868,151,24.313963
19.528271,151,25.485296
137.146924,151,26.578184
90.349697,151,30.59824
0.0,151,31.110561
0.0,151,31.636121
40.093895,151,32.30667
-7.26954,151,33.128655
118.351482,151,34.10478
152.311155,151,35.075194
114.382462,151,35.970903
157.155698,151,36.949746
151.144485,151,37.822067
0.0,151,38.777429
158.435265,151,39.769057
191.18304,151,40.750859
154.890504,151,41.701807
189.926285,151,42.628746
134.267105,151,43.510289
73.27695,151,44.425201
75.645478,151,45.276116
131.377778,151,46.172924
174.126427,151,47.097402
139.820083,151,47.990705
0.0,151,48.848754
0.0,151,49.734867
156.17316,151,50.655998
125.302233,151,51.850379
2.268484,151,52.657227
0.0,151,53.559752
183.705347,151,59.471414
1.475181,151,60.011473
-3.40127,151,60.548263
6.180755,151,61.062244
0.170293,151,61.603229
19.617575,151,62.367599
0.0,151,63.2291
12.185383,151,63.924981
-0.230748,151,64.797446
66.25797,151,65.796479
108.699924,151,66.844132
115.966015,151,67.850929
92.21369,151,69.156583
8.522453,151,70.007074
83.139729,151,70.933434
170.241117,151,71.882626
147.905957,151,72.860983
0.0,151,73.864403
108.270062,151,75.189605
3.990656,151,76.080863
0.652148,151,76.903951
163.187827,151,77.884161
117.021847,151,78.823981
78.029241,151,79.788142
183.198242,151,80.759875
182.051022,151,81.742688
133.508992,151,82.687523
134.502404,151,90.657809
0.387914,151,91.174179
1.436663,151,91.689336
0.0,151,92.205425
1.030676,151,92.741633
-4.98857,151,93.370028
0.0,151,94.114257
10.218881,151,94.834691
129.504114,151,95.765252
144.921985,151,96.664242
110.264923,151,97.689887
178.328959,151,98.632202
0.0,151,99.553247
172.88669,151,100.43888
0.0,151,101.322178
151.34217,151,102.279563
176.780345,151,103.290733
94.147157,151,104.329504
152.029461,151,105.31754
0.0,151,106.328059
110.450572,151,107.272696
139.118144,151,108.264891
44.719131,151,109.237355
171.222804,151,110.214653
84.487256,151,111.194385
80.569832,151,112.132702
154.941231,151,113.105297
194.672478,151,120.066154
11.244734,151,120.840695
13.316367,151,121.582207
22.603886,151,122.319226
32.857945,151,123.073537
0.0,151,123.657946
27.831484,151,124.252394
0.0,151,125.052324
115.360502,151,126.057842
112.353972,151,126.942473
139.324595,151,127.885517
75.099393,151,128.815801
75.697621,151,129.733399
123.758388,151,130.671572
118.983699,151,131.570863
109.984213,151,132.514841
113.089519,151,133.463012
109.07973,151,134.350442
119.779084,151,135.314425
129.298289,151,136.27555
114.622686,151,137.216594
103.612725,151,138.180369
0.0,151,139.153278
122.005168,151,140.109287
127.699944,151,141.040879
124.82979,151,142.005858
0.0,151,142.974277
134.255554,151,150.191387
14.033397,151,151.011545
0.884725,151,151.691406
-1.21598,151,152.369114
7.881067,151,153.050437
0.0,151,153.675249
0.0,151,154.220208
0.0,151,154.950097
100.514574,151,155.978289
108.095257,151,156.894373
100.177158,151,157.803702
116.108542,151,158.738992
128.566043,151,159.742595
141.763478,151,160.715463
98.626322,151,161.681301
43.694577,151,162.681806
127.729571,151,163.683483
0.0,151,164.672127
144.343773,151,165.694678
125.253185,151,166.694493
118.605352,151,167.677746
0.0,151,168.595851
116.938639,151,169.591846
-0.231159,151,170.517908
0.0,151,171.434962
119.149435,151,172.393741
125.7312,151,173.392985
142.698196,151,179.764051
0.0,151,180.326819
6.787497,151,180.899967
35.698398,151,181.474996
1.598102,151,182.044823
0.0,151,182.631834
15.996547,151,183.490012
0.0,151,184.139334
0.0,151,184.925857
114.270361,151,185.857787
120.304619,151,186.772146
113.574763,151,187.701368
138.569426,151,188.680545
129.568165,151,189.686254
-8.204015,151,190.694348
120.433096,151,191.679822
127.713091,151,192.66517
115.949064,151,193.612499
121.028355,151,194.567833
103.328206,151,195.516911
130.238084,151,196.497831
110.05444,151,197.404229
128.552188,151,198.371166
112.7678,151,199.345573
114.352595,151,200.300102
0.0,151,201.30197
127.421655,151,202.353631
139.021153,151,208.88302
13.373807,151,209.434952
27.974136,151,209.965162
18.859003,151,210.4751
5.198081,151,210.993227
33.218212,151,211.557176
18.134501,151,212.173553
5.019359,151,212.872115
127.149387,151,213.930031
137.988027,151,214.959031
17.221154,151,215.967702
6.074897,151,216.882744
74.518686,151,217.837922
121.264015,151,218.815892
124.761108,151,219.750454
126.428201,151,220.684068
114.519749,151,221.617678
0.0,151,222.571865
31.832497,151,223.517596
122.225423,151,224.502812
128.723922,151,225.51
123.288042,151,226.538913
125.497095,151,227.617638
127.323363,151,228.553614
136.00694,151,229.540138
91.066517,151,230.492353
55.173763,151,231.488469
128.276681,151,232.451471
115.573063,151,239.420319
7.521929,151,240.179903
1.577719,151,240.966003
-6.352895,151,241.666871
16.916378,151,242.414575
25.146322,151,243.000493
33.204477,151,243.623034
-2.893668,151,244.474744
123.214578,151,245.390291
128.459657,151,246.285841
0.0,151,247.146247
120.828259,151,248.102067
0.0,151,249.028307
110.471171,151,250.032472
127.253501,151,251.019776
116.309534,151,252.008
0.0,151,252.924609
125.090358,151,253.881063
128.795287,151,254.819048
110.987868,151,255.80636
123.306787,151,256.802725
128.008746,151,257.845267
