#{"env_id": "SoccerEnv-v0", "t_start": 1539042979.913783}
r,l,t
342.140357,151,10.828186
319.014856,151,11.98332
314.025128,151,12.944625
311.881502,151,13.755616
308.398952,151,14.306149
355.356948,151,14.932093
318.806407,151,15.707993
323.594931,151,16.576002
296.054809,151,17.537771
300.807733,151,18.585888
314.162472,151,19.571985
312.400656,151,20.527777
325.665804,151,21.470187
346.554038,151,22.481786
321.650069,151,23.472914
319.748382,151,24.503051
338.808404,151,25.46343
289.959126,151,26.380662
296.412242,151,27.292912
317.733687,151,28.222527
292.701166,151,29.157835
279.551717,151,30.089427
347.13984,151,31.094115
266.075292,151,32.137404
288.511286,151,33.109489
323.181565,151,34.094868
338.632984,151,35.079059
317.879376,151,39.416098
297.039972,151,39.959095
315.407622,151,40.508018
279.786022,151,41.05255
302.093639,151,41.768054
301.702215,151,42.609262
324.77309,151,43.567796
318.256605,151,44.640332
301.529338,151,45.571307
313.264525,151,46.535813
336.557441,151,47.566293
333.968836,151,48.486
331.832377,151,49.47841
274.277651,151,50.491945
304.07798,151,51.505201
331.905685,151,52.471107
337.098989,151,53.45806
327.233442,151,54.422979
347.0628,151,55.450083
329.377905,151,56.391787
342.148178,151,57.628546
308.277385,151,58.610958
300.848543,151,59.580509
317.624983,151,60.599875
309.054273,151,61.628184
279.426977,151,62.664273
330.184742,151,63.687263
356.011741,151,69.636935
314.790789,151,70.693778
326.448174,151,71.697717
303.875658,151,72.727818
300.299007,151,73.739806
304.580711,151,74.438935
296.746691,151,75.044765
341.622729,151,75.63912
323.720158,151,76.35509
348.158692,151,77.231626
329.300715,151,78.239064
309.373598,151,79.228116
312.073388,151,80.171374
301.510547,151,81.168152
334.382055,151,82.160594
306.242367,151,83.165185
327.499313,151,84.148532
307.884811,151,85.176286
339.239514,151,86.152673
349.76461,151,87.13171
330.648439,151,88.146281
340.043874,151,89.117315
327.559431,151,90.238529
319.464144,151,91.227507
315.118163,151,92.299655
314.708144,151,93.27266
332.444176,151,94.270391
308.104172,151,98.829762
324.507382,151,99.396933
364.86332,151,99.943537
361.44331,151,100.51119
300.590376,151,101.123879
317.245369,151,101.763615
305.5761,151,102.695414
321.555453,151,103.680869
330.506661,151,104.779641
326.345975,151,105.804856
354.498439,151,107.093466
285.28209,151,107.980959
290.544074,151,108.965967
309.987936,151,109.889139
340.859042,151,110.812916
310.769712,151,111.79498
318.170272,151,112.746961
329.643102,151,113.763546
264.984016,151,114.825168
280.921534,151,115.797628
301.973892,151,116.746
329.176766,151,117.771933
304.073503,151,118.80161
318.1982,151,119.862154
345.213729,151,120.858779
311.376881,151,121.889514
369.023701,151,122.881077
