#{"t_start": 1535225896.8729026, "env_id": "SoccerEnv-v0"}
r,l,t
6.394904,101,1.047229
0.739488,101,1.344699
0.0,101,1.643062
5.208764,101,1.939488
0.0,101,2.195464
-0.32773,101,2.441792
1.39158,101,2.698908
0.0,101,3.053734
2.52193,101,3.352601
2.21543,101,3.637886
-12.16155,101,3.907594
2.290966,101,4.17485
0.26522,101,4.433962
-22.91511,101,4.730336
0.0,101,5.021866
11.73527,101,5.336285
0.0,101,5.692217
6.76047,101,6.029461
-6.06332,101,6.404303
0.0,101,6.826382
0.0,101,7.226958
0.0,101,7.57269
0.0,101,7.934002
2.830395,101,8.305351
0.0,101,8.650101
2.971053,101,9.010546
0.0,101,9.371408
0.0,101,9.745121
0.0,101,10.098576
0.0,101,10.467138
-9.80611,101,10.817239
0.0,101,11.180239
0.0,101,11.562989
0.0,101,11.962622
2.46064,101,12.332375
0.0,101,12.716419
14.693405,101,13.128898
-0.178672,101,13.515225
0.0,101,13.833795
0.0,101,14.136772
-11.846241,101,17.242238
2.176194,101,17.421057
-21.40327,101,17.630584
-3.454915,101,17.849978
0.0,101,18.094825
0.0,101,18.293997
13.25742,101,18.484852
0.0,101,18.667849
0.0,101,18.854957
-4.0725,101,19.034854
-18.519975,101,19.250958
7.92672,101,19.469485
0.0,101,19.747883
0.0,101,19.972186
0.0,101,20.190001
2.53431,101,20.403378
0.1125,101,20.629237
0.0,101,20.87841
-3.44752,101,21.125839
0.0,101,21.371082
-0.281072,101,21.611426
1.34285,101,21.954587
0.0,101,22.296934
16.802945,101,22.659467
0.0,101,23.035481
0.0,101,23.35967
3.235802,101,23.705307
0.0,101,24.066701
0.0,101,24.412683
8.421688,101,24.761171
-0.40825,101,25.1607
0.0,101,25.564377
0.0,101,25.927544
-1.475153,101,26.32676
0.0,101,26.719221
13.87718,101,27.094669
0.0,101,27.4716
0.0,101,27.831662
0.0,101,28.175122
2.556466,101,28.627337
0.52101,101,29.009059
-23.228669,101,33.367315
-20.325035,101,33.570855
-2.156405,101,33.770898
0.0,101,33.977119
-3.140985,101,34.198814
0.0,101,34.406386
0.0,101,34.626219
-28.46729,101,34.798873
2.75073,101,34.989155
0.281605,101,35.192095
14.120745,101,35.40184
-7.7847,101,35.637567
0.0,101,35.842883
-8.18623,101,36.0388
0.0,101,36.279493
-8.694191,101,36.466914
-3.341611,101,36.748365
0.0,101,36.989317
0.0,101,37.233292
0.0,101,37.452991
0.0,101,37.660831
0.0,101,37.924662
0.0,101,38.169496
0.0,101,38.41473
0.0,101,38.655374
-12.888184,101,38.886547
0.0,101,39.111865
0.0,101,39.353359
24.69788,101,39.562702
0.0,101,39.775148
-1.264406,101,40.03554
19.99209,101,40.234889
-25.468964,101,40.495864
0.0,101,40.935069
0.0,101,41.31747
-15.355239,101,41.682763
0.0,101,42.027139
13.45411,101,42.377583
0.0,101,42.73742
1.168636,101,43.101799
0.0,101,49.476048
-5.892295,101,49.666063
0.0,101,49.846502
-9.90867,101,50.036787
-5.84054,101,50.234999
4.92994,101,50.441429
-2.634245,101,50.631453
10.157863,101,50.825232
0.0,101,51.012393
-33.63664,101,51.214919
-2.46847,101,51.398737
0.0,101,51.592207
0.0,101,51.777705
-2.43832,101,51.960231
0.0,101,52.189703
2.34099,101,52.384645
0.0,101,52.588525
-8.86335,101,52.77385
-16.58477,101,52.975716
0.0,101,53.187515
-0.562945,101,53.389291
0.0,101,53.592375
-16.45828,101,53.797604
10.76551,101,54.062654
-4.04147,101,54.311346
3.130455,101,54.547778
13.49142,101,54.75885
-27.593126,101,55.002696
3.493305,101,55.318888
0.0,101,55.559349
0.0,101,55.771003
12.248797,101,55.982073
22.459062,101,56.182933
-73.68158,101,56.45384
-0.77445,101,56.66599
1.992147,101,56.913161
0.0,101,57.132519
4.21817,101,57.352119
-20.45142,101,57.615867
0.0,101,57.885838
0.0,101,58.116083
-17.49294,101,66.354996
1.590657,101,66.603842
-2.669507,101,66.809849
12.22187,101,67.004694
-1.214303,101,67.212072
5.57293,101,67.407011
0.0,101,67.648908
0.0,101,67.847273
0.0,101,68.06617
14.295245,101,68.299742
0.0,101,68.519547
0.0,101,68.730393
-9.13474,101,68.938441
47.76858,101,69.145502
-7.081112,101,69.373871
3.79769,101,69.585876
0.0,101,69.802745
18.77932,101,70.046197
0.0,101,70.269669
-18.52727,101,70.510901
-2.36915,101,70.740509
-6.63799,101,70.984213
0.0,101,71.222465
0.0,101,71.471874
5.842134,101,71.718884
4.53814,101,71.970878
6.434242,101,72.228175
-30.59336,101,72.424844
0.0,101,72.653256
-8.22505,101,72.910172
-4.91136,101,73.170049
-7.366546,101,73.39792
18.813584,101,73.677125
-38.96952,101,73.92324
-21.53842,101,74.151862
-14.062922,101,74.397308
0.0,101,74.639097
0.0,101,74.838661
10.276055,101,75.07761
0.0,101,75.296465
31.976989,101,82.961087
-3.90117,101,83.185613
0.0,101,83.420508
0.0,101,83.653646
0.0,101,83.907378
5.860057,101,84.201836
-6.39073,101,84.483288
0.0,101,84.75738
0.0,101,85.062869
6.38805,101,85.360798
3.868479,101,85.681085
-3.286445,101,86.007955
0.0,101,86.352382
-24.98886,101,86.663863
0.0,101,86.98905
0.94534,101,87.287214
-10.17475,101,87.566855
-8.066135,101,87.903342
-2.128256,101,88.161634
-8.01982,101,88.439015
-10.33973,101,88.664688
-3.011305,101,88.939942
-0.29657,101,89.199217
0.0,101,89.452836
-10.430305,101,89.70525
0.0,101,90.010982
0.0,101,90.26071
-1.57863,101,90.503279
9.053348,101,90.748479
2.906778,101,90.999381
20.4721,101,91.226529
0.8753,101,91.481863
-9.55455,101,91.728505
0.0,101,91.992818
-7.30722,101,92.22707
-2.0573,101,92.502839
-3.67428,101,92.761444
-4.353405,101,93.035293
0.0,101,93.28147
-22.146413,101,93.534108
-36.438471,101,93.789401
4.41555,101,100.42397
32.929435,101,100.68851
-2.802119,101,100.936929
-2.764991,101,101.205711
-2.20654,101,101.46369
0.662464,101,101.701555
0.0,101,101.965877
2.166028,101,102.246106
-4.510014,101,102.503984
-5.55769,101,102.771868
25.366916,101,103.036086
11.074553,101,103.297192
-0.797785,101,103.589485
6.776788,101,103.875862
0.0,101,104.147711
-2.672445,101,104.410477
-17.27124,101,104.689882
9.932209,101,104.965692
-3.07392,101,105.255271
0.0,101,105.522239
8.471274,101,105.781241
-14.110055,101,106.022087
1.52698,101,106.320012
-20.33916,101,106.542109
-5.86894,101,106.798093
-3.36668,101,107.073231
19.811579,101,107.34791
-7.921944,101,107.61184
-9.77475,101,107.861012
-12.83711,101,108.075633
0.0,101,108.334869
0.0,101,108.612089
5.279876,101,108.854765
-41.6045,101,109.088671
0.0,101,109.324779
0.0,101,109.556789
0.0,101,109.793479
0.387233,101,110.036604
-5.4621,101,110.270627
13.716375,101,110.489092
6.548755,101,117.513927
-3.315953,101,117.740845
-3.93761,101,117.97291
-5.92985,101,118.227329
6.86238,101,118.507861
-0.80886,101,118.7833
9.46111,101,119.074111
1.28706,101,119.324799
8.620455,101,119.575497
0.0,101,119.867223
-9.81707,101,120.141506
5.859569,101,120.384109
-6.22505,101,120.695033
3.04325,101,120.979939
-3.7051,101,121.223853
12.77829,101,121.46303
-20.08075,101,121.715103
-8.07009,101,121.939736
-5.19814,101,122.204857
-3.226675,101,122.467062
8.6996,101,122.740952
0.0,101,122.950193
30.361247,101,123.201209
-12.2248,101,123.420044
4.87048,101,123.66301
-7.3744,101,123.921227
1.592055,101,124.154902
6.29635,101,124.42212
-6.4476,101,124.704119
-6.83659,101,124.968265
0.0,101,125.197387
4.483365,101,125.421542
0.0,101,125.641731
-17.7428,101,125.883452
-8.87878,101,126.106667
0.27517,101,126.322858
-7.31704,101,126.550369
22.847343,101,126.763586
-1.446077,101,127.146133
0.0,101,127.50374
0.0,101,127.84695
-20.58452,101,134.535117
