#{"env_id": "SoccerEnv-v0", "t_start": 1540917294.9678144}
r,l,t
4.510956,81,2.120413
0.0,92,2.800124
15.404389,71,3.381998
0.0,102,4.060608
6.881476,71,4.655226
0.0,107,5.347615
8.288568,71,5.960544
0.0,91,6.617967
0.0,85,7.260091
14.856448,71,7.846148
0.0,86,8.519961
0.0,104,9.197516
0.0,94,9.849224
0.0,92,10.489746
0.0,120,11.250458
19.418133,71,11.86543
0.0,112,12.569607
0.0,91,13.203916
0.0,99,13.89764
0.0,97,14.653381
0.0,87,15.317132
0.0,99,15.985395
0.0,88,16.669192
2.601693,89,17.322718
0.0,94,17.99104
0.0,82,18.606393
0.0,90,19.281821
0.0,107,20.002274
0.0,94,20.666868
0.0,91,21.308818
0.0,88,21.969863
14.937561,71,22.561681
0.0,85,23.188429
9.997721,71,23.793042
0.0,93,24.452886
0.771544,71,25.095228
0.0,91,25.744634
0.0,114,26.465428
8.738837,71,27.125567
10.161548,71,27.736969
0.0,79,28.435229
5.181679,71,29.010304
0.0,88,29.626608
0.0,88,30.297899
3.142898,96,30.945462
0.0,85,31.571636
0.0,87,33.402008
0.0,93,34.04697
0.0,95,34.700043
2.440384,71,35.283463
2.153112,71,35.901181
3.052047,83,36.567981
0.0,88,37.215216
0.0,98,37.893108
0.0,113,38.607595
0.0,94,39.275105
16.526974,71,39.924872
0.0,93,40.575545
15.845786,71,41.179753
0.0,78,41.824423
1.043726,71,42.459702
16.791625,112,43.195902
0.0,94,43.856675
1.742937,71,44.550701
9.625879,71,45.192373
12.144498,71,45.794712
8.545408,71,46.404342
0.0,115,47.162312
0.0,106,47.839641
7.781555,71,48.49008
0.0,96,49.162694
0.0,100,49.882888
0.0,96,50.568259
13.07814,71,51.217063
0.0,81,51.826653
0.0,90,52.513976
3.410357,84,53.146275
0.0,84,53.75181
0.0,100,54.433668
21.502626,71,55.017171
0.0,89,55.684853
0.0,96,56.3735
0.0,90,57.027839
0.0,96,57.738956
0.0,98,58.481622
0.800035,87,59.162086
1.434938,71,59.765213
0.0,97,60.434687
8.449961,71,61.042894
0.0,121,61.816055
1.239542,85,62.496925
4.711754,71,63.088524
1.733822,71,63.692416
0.44378,71,65.126307
1.214836,71,65.751504
0.0,82,66.36417
0.0,91,67.020932
0.0,88,67.648458
1.62501,71,68.239292
20.161205,71,68.903123
5.63687,71,69.541126
0.0,121,70.310861
0.0,100,70.971283
3.87725,81,71.610776
0.0,92,72.266669
21.767073,71,72.85804
4.75764,86,73.509928
2.881935,71,74.159999
0.0,87,74.913237
0.0,97,75.614528
3.722868,71,76.180725
14.568189,71,76.783626
0.0,82,77.397004
0.0,90,78.04409
0.0,96,78.744605
0.0,98,79.421329
1.104662,71,80.057993
0.736256,71,80.704732
0.0,92,81.416177
0.0,78,82.07185
0.0,94,82.74502
0.0,87,83.379806
0.0,89,84.019168
0.0,81,84.620933
0.589227,81,85.245178
9.867033,71,85.885425
2.18813,71,86.525905
22.018496,71,87.142817
0.0,91,87.783031
20.293381,71,88.39292
0.0,90,89.058146
0.0,89,89.740085
0.0,85,90.403286
0.0,110,91.10389
6.993901,71,91.771015
2.064387,119,92.507773
0.0,83,93.129647
2.507841,71,93.728296
0.0,92,94.424755
3.675756,83,95.048461
0.0,95,95.727222
0.0,89,96.359753
15.378525,71,97.815815
0.0,94,98.489793
5.051866,81,99.124713
0.0,84,99.731589
0.0,91,100.390007
0.0,87,101.068053
12.258545,71,101.666539
15.116768,71,102.262648
0.0,77,102.862455
0.0,84,103.465887
0.0,79,104.069438
0.0,92,104.805294
9.385691,71,105.400614
19.924831,71,106.009807
1.428508,71,106.637334
2.550539,105,107.320225
0.0,88,107.984193
0.0,86,108.640521
12.25913,71,109.234383
0.0,84,109.825974
0.0,90,110.515
0.0,108,111.206524
18.727749,71,111.838498
0.0,93,112.511211
21.522551,71,113.126868
7.365498,81,113.718933
0.0,80,114.31115
23.693211,71,114.935267
0.0,96,115.629939
0.0,79,116.235077
0.0,93,116.876189
-1.266129,84,117.511598
0.0,98,118.202796
0.0,89,118.88936
6.412562,71,119.471286
2.340715,98,120.144764
0.0,83,120.742036
1.658647,71,121.315455
0.0,98,121.980447
15.529341,71,122.598518
0.0,105,123.285384
8.968962,71,123.884377
1.878558,71,124.494466
26.462456,71,125.14035
0.862129,71,125.770005
7.606144,71,126.409922
16.564625,71,127.019098
0.0,93,127.662881
0.0,113,128.391563
0.716085,71,129.830197
0.0,98,130.493345
3.536602,81,131.157754
7.715307,71,131.817847
0.0,79,132.434706
3.471657,81,133.049515
0.0,80,133.645575
0.0,86,134.282206
0.0,89,135.008665
3.407555,86,135.674044
0.0,82,136.278095
0.515199,71,136.865806
16.360764,71,137.486105
0.0,92,138.121563
0.0,98,138.80679
0.0,96,139.512365
22.039663,71,140.124726
0.0,95,140.782978
0.0,94,141.421863
1.893527,71,142.100481
5.486917,98,142.790973
0.0,87,143.451394
0.0,90,144.125349
0.0,94,144.771536
32.18565,71,145.3497
