#{"env_id": "SoccerEnv-v0", "t_start": 1539224525.3470676}
r,l,t
-52.822532,76,1.064544
-52.183983,76,1.143826
-52.564992,76,1.22656
-52.705767,76,1.3081
-52.583231,76,1.396418
-52.561922,76,1.476576
-51.93926,76,1.557369
-52.571489,76,1.628865
-52.596738,76,1.710434
-53.080359,76,1.801168
-52.755583,76,1.90729
-52.450189,76,1.995882
-52.828224,76,2.086155
-52.7555,76,2.170539
-52.461648,76,2.251687
-52.911951,76,2.344634
-52.16653,76,2.42547
-52.847613,76,2.503045
-51.834987,76,2.57485
-52.657389,76,2.679407
-52.935977,76,2.770354
-52.130222,76,2.863823
-52.288914,76,2.941259
-52.43518,76,3.028877
-52.129143,76,3.111227
-51.799838,76,3.208071
-52.289577,76,3.313778
-51.94669,76,3.392482
-52.434074,76,3.472764
-52.113891,76,3.564449
-52.891477,76,3.667919
-52.54867,76,3.770278
-52.984764,76,3.855262
-52.371659,76,3.933482
-52.977465,76,4.020368
-52.819943,76,4.091928
-52.317829,76,4.168248
-52.037984,76,4.247363
-52.969789,76,4.322649
-51.822567,76,4.400504
-52.548542,76,4.487648
-52.149353,76,4.571104
-52.498103,76,4.654592
-52.135485,76,4.726817
-52.285746,76,4.806082
-52.408773,76,4.878866
-52.370154,76,4.960435
-52.782972,76,5.065257
-52.801948,76,5.148362
-52.667532,76,5.24104
-52.606681,76,5.359419
-52.657947,76,5.45956
-52.800435,76,5.531282
-52.435622,76,7.106753
-52.664107,76,7.215153
-52.995706,76,7.302309
-52.291072,76,7.390563
-52.926683,76,7.477444
-51.942508,76,7.562603
-52.20732,76,7.63818
-52.147799,76,7.730963
-52.30469,76,7.830847
-52.553849,76,7.916864
-52.699743,76,7.999627
-53.081845,76,8.091848
-53.275311,76,8.17905
-52.493808,76,8.254884
-52.823806,76,8.349523
-52.471992,76,8.461978
-52.120873,76,8.547908
-52.747743,76,8.618165
-52.970287,76,8.713892
-52.875022,76,8.80221
-52.933967,76,8.899098
-53.276908,76,8.99253
-52.678076,76,9.083822
-52.016588,76,9.158717
-52.655397,76,9.24452
-52.660798,76,9.328043
-52.839677,76,9.429411
-52.245239,76,9.537582
-52.485404,76,9.63128
-52.678622,76,9.729716
-52.521241,76,9.813401
-52.773526,76,9.911454
-52.630189,76,9.996417
-52.804638,76,10.074374
-52.069871,76,10.149341
-52.39284,76,10.225699
-53.073569,76,10.33114
-52.067279,76,10.430561
-52.572803,76,10.521615
-52.758924,76,10.609239
-52.88091,76,10.70406
-52.678718,76,10.790181
-52.063289,76,10.881107
-53.200989,76,10.963567
-52.427579,76,11.050865
-52.809879,76,11.140347
-52.705241,76,11.220313
-52.375679,76,11.293239
-52.62454,76,11.377338
-52.494885,76,11.467648
-52.463291,76,11.582227
-52.751367,76,11.669962
-52.625277,76,11.7524
-52.3424,76,11.845332
-52.811806,76,12.983441
-52.394922,76,13.073203
-52.435095,76,13.165212
-52.660953,76,13.244856
-52.670027,76,13.346277
-52.193755,76,13.451221
-52.480161,76,13.553535
-52.634143,76,13.653722
-52.8601,76,13.740276
-52.889842,76,13.821026
-52.663159,76,13.920447
-53.060783,76,14.015125
-52.416896,76,14.102639
-53.115833,76,14.193654
-52.742421,76,14.274087
-52.21129,76,14.351543
-52.509648,76,14.441026
-52.586826,76,14.524582
-52.443782,76,14.61483
-52.412564,76,14.715082
-52.221143,76,14.807419
-52.928936,76,14.898297
-52.915402,76,14.991964
-52.455636,76,15.08349
-53.053886,76,15.178955
-52.863769,76,15.254673
-53.000307,76,15.327182
-52.357016,76,15.407117
-53.131025,76,15.492846
-52.784082,76,15.593314
-52.917585,76,15.694973
-52.482963,76,15.783498
-52.736933,76,15.881593
-52.608981,76,15.965386
-52.335523,76,16.064526
-52.578068,76,16.169909
-52.429662,76,16.244644
-52.995711,76,16.332414
-52.643998,76,16.424366
-52.720683,76,16.501171
-52.076707,76,16.597449
-52.383425,76,16.68775
-52.69004,76,16.772561
-52.124823,76,16.858806
-52.282641,76,16.944831
-53.069637,76,17.031273
-52.928831,76,17.127767
-52.995736,76,17.212903
-52.813615,76,17.283768
-52.708799,76,17.373128
-52.423834,76,17.476028
-52.986522,76,17.565195
-52.833334,76,17.659052
-52.076117,76,17.74902
-52.456302,76,18.946201
-52.808352,76,19.045626
-52.371026,76,19.138991
-52.505261,76,19.22523
-52.660182,76,19.302717
-52.245942,76,19.385797
-52.254785,76,19.468769
-52.461625,76,19.564234
-53.08822,76,19.652783
-52.715151,76,19.722653
-52.403645,76,19.794421
-52.551116,76,19.867932
-52.59809,76,19.949585
-52.685869,76,20.034051
-52.245377,76,20.13058
-52.661232,76,20.210448
-52.43333,76,20.33023
-52.497347,76,20.454518
-52.72818,76,20.559361
-52.203623,76,20.663607
-52.465101,76,20.759802
-52.68735,76,20.843416
-52.26977,76,20.925266
-52.647887,76,20.999107
-52.41355,76,21.082616
-52.415335,76,21.159281
-52.065373,76,21.254064
-52.432452,76,21.362118
-52.348103,76,21.471641
-52.266982,76,21.580014
-52.991701,76,21.692814
-52.960603,76,21.810965
-52.457943,76,21.917243
-53.090328,76,22.016494
-53.054627,76,22.101125
-52.529311,76,22.192199
-52.154592,76,22.279095
-52.150029,76,22.373595
-52.412294,76,22.473249
-53.155167,76,22.571873
-52.578975,76,22.660641
-52.933896,76,22.747626
-52.59277,76,22.827423
-52.141125,76,22.920058
