#{"t_start": 1539232941.5474734, "env_id": "SoccerEnv-v0"}
r,l,t
-46.47084,76,1.220433
-46.140697,76,1.316665
-46.411309,76,1.410058
-46.361127,76,1.49774
-46.272528,76,1.614338
-46.363735,76,1.714975
-45.912604,76,1.816237
-46.243457,76,1.92124
-46.342694,76,2.027069
-46.675603,76,2.134511
-46.320403,76,2.234263
-46.283503,76,2.327234
-46.472561,76,2.416779
-46.491194,76,2.510153
-46.360875,76,2.606761
-46.452833,76,2.699561
-45.985669,76,2.800925
-46.586909,76,2.899632
-45.918212,76,2.99537
-46.35825,76,3.093546
-46.609373,76,3.187636
-46.030143,76,3.276404
-46.280445,76,3.369887
-46.250919,76,3.457389
-46.159643,76,3.544049
-45.865225,76,3.632564
-46.247177,76,3.725262
-45.971257,76,3.831532
-46.306193,76,3.933624
-46.137855,76,4.028241
-46.545751,76,4.142765
-46.346018,76,4.240183
-46.62509,76,4.333196
-46.29684,76,4.41928
-46.727144,76,4.614416
-46.495816,76,4.764001
-46.163405,76,4.891735
-45.994752,76,4.993125
-46.695481,76,5.101482
-45.931038,76,5.231715
-46.309665,76,5.334684
-46.139132,76,5.423807
-46.285056,76,5.547511
-46.061153,76,5.673337
-46.161934,76,5.802245
-46.260332,76,5.974441
-46.152038,76,6.113247
-46.533567,76,6.259196
-46.461225,76,6.41846
-46.3751,76,6.516329
-46.326359,76,6.606547
-46.495716,76,6.720703
-46.533837,76,6.822001
-46.311454,76,8.660744
-46.381265,76,8.765482
-46.638466,76,8.864589
-46.157466,76,8.997777
-46.527287,76,9.128397
-45.935857,76,9.24297
-46.197112,76,9.369301
-46.084014,76,9.477506
-46.213848,76,9.592843
-46.268538,76,9.768498
-46.438349,76,9.942955
-46.706061,76,10.079762
-46.779846,76,10.209221
-46.33844,76,10.32395
-46.512442,76,10.433223
-46.272865,76,10.61523
-45.999943,76,10.749357
-46.348482,76,10.866557
-46.552799,76,10.965183
-46.435219,76,11.093808
-46.416095,76,11.224076
-46.80854,76,11.348736
-46.385093,76,11.461203
-46.058665,76,11.570974
-46.334829,76,11.769744
-46.403064,76,11.905758
-46.407003,76,12.039035
-46.065044,76,12.140833
-46.266138,76,12.26717
-46.389452,76,12.379665
-46.182758,76,12.485257
-46.476715,76,12.59007
-46.326598,76,12.702869
-46.544298,76,12.808483
-46.064592,76,12.914348
-46.21757,76,13.028093
-46.729945,76,13.134372
-46.051638,76,13.313027
-46.310231,76,13.432735
-46.381567,76,13.558047
-46.599823,76,13.686937
-46.270154,76,13.810599
-45.997194,76,13.957817
-46.709401,76,14.070451
-46.215305,76,14.210319
-46.507779,76,14.326828
-46.523574,76,14.427591
-46.162273,76,14.538254
-46.354506,76,14.648062
-46.292699,76,14.744964
-46.2736,76,14.851994
-46.531148,76,14.944506
-46.353639,76,15.039074
-46.171355,76,15.139115
-46.557281,76,16.481645
-46.267272,76,16.637285
-46.272223,76,16.752664
-46.290705,76,16.890851
-46.438567,76,17.003978
-46.08252,76,17.119983
-46.184106,76,17.244596
-46.449423,76,17.364145
-46.478015,76,17.495777
-46.579188,76,17.611233
-46.3281,76,17.733684
-46.683771,76,17.871575
-46.243498,76,17.994437
-46.598545,76,18.096927
-46.425326,76,18.21649
-46.128827,76,18.351303
-46.22626,76,18.479811
-46.263367,76,18.607636
-46.131774,76,18.779743
-46.337935,76,18.919783
-45.964302,76,19.043033
-46.486516,76,19.160395
-46.458532,76,19.271497
-46.334137,76,19.377916
-46.591116,76,19.47427
-46.511061,76,19.564844
-46.574738,76,19.65793
-46.102317,76,19.753102
-46.673494,76,19.848711
-46.583606,76,19.952426
-46.578186,76,20.058433
-46.211101,76,20.219992
-46.493276,76,20.337139
-46.241027,76,20.435784
-46.22555,76,20.533221
-46.387449,76,20.651336
-46.179356,76,20.746043
-46.660966,76,20.8474
-46.320599,76,20.945259
-46.349261,76,21.04398
-46.048142,76,21.144056
-46.317442,76,21.247073
-46.307047,76,21.346659
-46.071191,76,21.46453
-46.128343,76,21.598851
-46.697534,76,21.726941
-46.380577,76,21.82927
-46.571497,76,21.933475
-46.523807,76,22.045058
-46.417696,76,22.163312
-46.321002,76,22.280049
-46.540911,76,22.395818
-46.392294,76,22.507323
-45.953672,76,22.646575
-46.238678,76,24.031573
-46.620943,76,24.131318
-46.306007,76,24.251938
-46.348547,76,24.350592
-46.387466,76,24.456898
-46.166677,76,24.57995
-46.122475,76,24.687812
-46.382932,76,24.796235
-46.663672,76,24.903396
-46.562076,76,25.005071
-46.195473,76,25.116023
-46.489532,76,25.224606
-46.422828,76,25.315014
-46.432594,76,25.423873
-46.134526,76,25.52684
-46.348591,76,25.656314
-46.290346,76,25.753633
-46.241212,76,25.861822
-46.514162,76,25.988796
-46.059807,76,26.091271
-46.350547,76,26.211545
-46.385093,76,26.323684
-46.080023,76,26.432691
-46.45418,76,26.549335
-46.216461,76,26.643939
-46.175298,76,26.743298
-46.008949,76,26.923902
-46.295968,76,27.094028
-46.199455,76,27.291069
-46.064796,76,27.404237
-46.619822,76,27.50389
-46.611171,76,27.604186
-46.305037,76,27.701552
-46.642367,76,27.799901
-46.562584,76,27.961218
-46.309167,76,28.080793
-46.139807,76,28.181573
-46.042737,76,28.276345
-46.353272,76,28.370526
-46.691699,76,28.468182
-46.388283,76,28.561763
-46.60833,76,28.677677
-46.339831,76,28.783499
-46.061157,76,28.876843
-45.907507,76,28.979405
-46.350329,76,29.13244
-46.033444,76,29.304579
-46.222048,76,29.403446
-46.295999,76,29.496583
-46.425449,76,29.600371
-46.279736,76,29.702142
-46.639165,76,29.805277
-46.375834,76,29.901432
-46.485263,76,30.003941
-46.20071,76,31.265192
-46.163807,76,31.368047
-46.504576,76,31.470965
-46.221631,76,31.560281
-46.103353,76,31.647457
-46.264977,76,31.730098
-46.113084,76,31.81792
-46.062689,76,31.902545
-46.682545,76,31.98942
-46.108718,76,32.091342
-46.532913,76,32.186801
-46.35286,76,32.307389
-46.369585,76,32.408571
-46.267823,76,32.506448
-46.068128,76,32.607716
-46.571458,76,32.697629
-46.292651,76,32.793225
-46.446555,76,32.890919
-46.437864,76,32.985479
-46.406166,76,33.086148
-46.930804,76,33.180326
-46.504846,76,33.271862
-46.268172,76,33.364668
-46.165656,76,33.458339
-46.288591,76,33.557944
-46.312714,76,33.652688
-46.219683,76,33.743971
-46.249632,76,33.890545
-46.354551,76,33.984116
-45.966466,76,34.087815
-46.251835,76,34.181704
-46.653088,76,34.274113
-46.676434,76,34.431961
-46.701551,76,34.580933
-46.230075,76,34.675774
-46.133539,76,34.770994
-46.284073,76,34.938893
-46.311768,76,35.035242
-46.396315,76,35.135449
-46.155326,76,35.25922
-46.150012,76,35.35366
-46.399494,76,35.447158
-46.268438,76,35.54012
-45.924972,76,35.66121
-46.180979,76,35.803785
-45.978346,76,35.89586
-46.241743,76,35.991947
-46.269042,76,36.088934
-46.645572,76,36.18474
-46.316097,76,36.280197
-46.057297,76,36.377975
-46.049823,76,36.476915
-46.309977,76,36.575289
-46.434339,76,36.672063
-46.072565,76,37.711331
-46.144559,76,37.803015
-46.628241,76,37.895282
-46.118546,76,37.991476
-46.530964,76,38.082253
-46.432861,76,38.165118
-46.398424,76,38.254207
-46.282534,76,38.340448
-46.345719,76,38.426871
-46.362898,76,38.510782
-46.662169,76,38.602082
-46.212607,76,38.690411
-46.512479,76,38.777232
-46.271175,76,38.866097
-46.243149,76,38.955974
-46.525442,76,39.040409
-46.324045,76,39.126439
-46.515676,76,39.213609
-46.671348,76,39.302627
-46.400371,76,39.390307
-46.421946,76,39.478356
-46.059564,76,39.566849
-46.410663,76,39.655265
-46.255296,76,39.745964
-46.3852,76,39.835866
-46.654789,76,39.932397
-46.130324,76,40.035323
-46.273701,76,40.1327
-46.28959,76,40.238879
-46.491672,76,40.340393
-46.36485,76,40.44698
-46.164841,76,40.549248
-46.261172,76,40.654073
-46.453185,76,40.753333
-46.720392,76,40.91908
-46.372436,76,41.023299
-46.764718,76,41.165998
-46.351378,76,41.321674
-46.693862,76,41.48733
-46.527479,76,41.633276
-46.310729,76,41.728071
-46.444425,76,41.821641
-46.463574,76,41.91703
-46.334147,76,42.015967
-46.211137,76,42.136167
-46.204295,76,42.261369
-46.54129,76,42.404966
-46.296931,76,42.545437
-46.479946,76,42.663401
-46.064826,76,42.782475
-46.524406,76,42.877316
-46.324291,76,42.963537
-46.237603,76,43.052013
-46.121089,76,43.154322
-46.472575,76,44.263845
-46.20299,76,44.359646
-46.571157,76,44.473187
-46.381552,76,44.565381
-46.301279,76,44.664436
-46.458763,76,44.761392
-46.72201,76,44.855216
-46.276939,76,44.965087
-46.465011,76,45.08867
-46.377596,76,45.209373
-46.484748,76,45.331599
-46.511002,76,45.43471
-46.302169,76,45.539307
-46.358271,76,45.632934
-46.204236,76,45.728542
-46.665673,76,45.844855
-46.329084,76,45.972948
-46.380513,76,46.094762
-46.109469,76,46.209439
-46.349441,76,46.306295
-46.301358,76,46.408287
-46.174824,76,46.509945
-46.242647,76,46.600625
-46.126482,76,46.702879
-45.955031,76,46.811925
-46.280691,76,46.914435
-46.80961,76,47.015741
-46.279708,76,47.137254
-46.589391,76,47.255499
-46.174906,76,47.386274
-46.327578,76,47.512348
-46.517804,76,47.608709
-46.270702,76,47.695675
-46.273894,76,47.779579
-46.261922,76,47.870272
-46.196324,76,47.973958
-46.61477,76,48.079729
-46.40547,76,48.180548
-46.47895,76,48.280276
-46.49812,76,48.377724
-46.079816,76,48.469591
-46.244,76,48.56365
-46.191905,76,48.666614
-46.130674,76,48.767859
-46.14934,76,48.868263
-46.524231,76,48.972402
-46.410911,76,49.074373
-46.316355,76,49.172486
-46.433179,76,49.268344
-46.605888,76,49.360716
-46.439269,76,49.455452
-46.203768,76,49.545181
-46.422382,76,49.640256
-46.348341,76,49.734458
-46.348199,76,51.003441
-46.405223,76,51.102402
-46.274404,76,51.191285
-46.344262,76,51.285228
-46.322728,76,51.406343
-46.390681,76,51.535484
-46.680076,76,51.632747
-46.514579,76,51.720153
-46.429707,76,51.819211
-46.676848,76,51.913887
-46.311427,76,52.030361
-46.312466,76,52.134171
-46.216071,76,52.231579
-46.438881,76,52.326788
-46.220681,76,52.421291
-46.331546,76,52.513251
-46.550556,76,52.605926
-46.135609,76,52.701426
-46.402162,76,52.795817
-46.382087,76,52.889433
-46.422085,76,52.986173
-46.2778,76,53.143977
-46.241434,76,53.284977
-46.176529,76,53.386977
-46.08815,76,53.485204
-46.245844,76,53.583562
-46.389862,76,53.669017
-46.527828,76,53.753764
-46.536947,76,53.861567
-46.498715,76,54.017847
-46.256486,76,54.148099
-46.013004,76,54.243874
-46.084677,76,54.344083
-46.492301,76,54.435748
-46.29629,76,54.532024
-46.313518,76,54.628966
-46.274494,76,54.720854
-46.602551,76,54.818534
-46.303042,76,54.915844
-46.674172,76,55.013186
-46.19794,76,55.105732
-46.286641,76,55.194887
-46.452625,76,55.284209
-46.116739,76,55.382093
-46.603188,76,55.510959
-46.504768,76,55.627603
-46.379591,76,55.762316
-46.260121,76,55.851158
-46.528406,76,55.948547
-46.54353,76,56.047891
-46.469828,76,56.159764
-46.436044,76,56.300013
-46.073853,76,56.423133
-46.169766,76,56.514134
-46.266912,76,57.680961
-46.571944,76,57.774683
-46.405822,76,57.870454
-46.274495,76,57.969648
-46.061779,76,58.063488
-46.746546,76,58.160838
-46.281597,76,58.256041
-46.134504,76,58.34705
-46.722507,76,58.437938
-46.251959,76,58.532105
-46.379058,76,58.627123
-46.220113,76,58.727142
-46.050935,76,58.821762
-46.364017,76,58.914855
-46.583474,76,59.012941
-46.359233,76,59.109133
-46.774414,76,59.206159
-46.860402,76,59.298479
-46.429564,76,59.389741
-46.453333,76,59.483665
-46.428794,76,59.578767
-46.338324,76,59.677384
-46.483304,76,59.771524
-46.397125,76,59.867362
-46.493777,76,59.961912
-46.574086,76,60.05775
-46.245143,76,60.150365
-46.187026,76,60.250649
-46.271444,76,60.352539
-46.389272,76,60.456131
-46.507374,76,60.556646
-46.413621,76,60.654146
-46.428916,76,60.747059
-46.418878,76,60.844797
-46.195635,76,60.950289
-46.544423,76,61.043195
-46.305514,76,61.133272
-46.391543,76,61.220785
-46.306115,76,61.306741
-46.445788,76,61.397993
-46.161924,76,61.488795
-46.162386,76,61.580002
-46.353329,76,61.679239
-46.300443,76,61.780582
-46.251204,76,61.880216
-46.263382,76,61.974952
-46.120345,76,62.073284
-46.554417,76,62.172383
-46.534098,76,62.268676
-46.226526,76,62.371858
-46.206615,76,62.473504
-46.357689,76,62.568931
-46.341059,76,62.663877
