#{"env_id": "SoccerEnv-v0", "t_start": 1539186184.448771}
r,l,t
-1677.536194,76,1.019081
-1679.895002,76,1.138687
-1655.779627,76,1.297465
-1667.445354,76,1.493722
-1704.990887,76,1.685155
-1654.735299,76,1.883625
-1675.084442,76,2.068584
-1712.656631,76,2.259954
-1708.274625,76,2.472581
-1676.923001,76,2.664982
-1724.703269,76,2.84317
-1676.977725,76,3.032301
-1705.950908,76,3.226311
-1693.573324,76,3.416659
-1664.354774,76,3.597213
-1712.40134,76,3.789568
-1654.995586,76,3.983783
-1689.428658,76,4.169504
-1616.339993,76,4.376962
-1720.761041,76,4.576253
-1732.034969,76,4.765
-1688.295209,76,4.957278
-1655.163033,76,5.149126
-1709.657706,76,5.348441
-1654.380737,76,5.518368
-1644.941413,76,5.639533
-1688.640166,76,5.774775
-1624.745463,76,5.896406
-1706.199803,76,6.069082
-1686.831208,76,6.246956
-1688.392482,76,6.378511
-1665.267169,76,6.510596
-1653.77284,76,6.635797
-1696.380804,76,6.756643
-1682.570939,76,6.892271
-1754.97003,76,7.011131
-1679.149254,76,7.157687
-1627.60997,76,7.278407
-1711.501342,76,7.404748
-1649.179429,76,7.522902
-1680.700913,76,7.64472
-1673.848156,76,7.800295
-1705.863434,76,7.981288
-1638.346266,76,8.192866
-1649.51762,76,8.38836
-1698.55727,76,8.57448
-1677.124798,76,8.781265
-1706.937049,76,8.958038
-1695.113218,76,9.150864
-1726.907132,76,9.336993
-1706.084293,76,9.526076
-1725.756504,76,9.720794
-1705.925333,76,9.933465
-1704.492515,76,11.535345
-1667.297796,76,11.687377
-1726.803597,76,11.816199
-1666.01601,76,11.953142
-1700.649927,76,12.089844
-1654.400361,76,12.230752
-1690.007098,76,12.359329
-1693.102091,76,12.487767
-1669.630009,76,12.61555
-1693.708706,76,12.736005
-1677.648889,76,12.84993
-1697.293628,76,13.02297
-1691.487018,76,13.149652
-1698.920069,76,13.266059
-1700.472733,76,13.3852
-1653.413117,76,13.506702
-1615.564392,76,13.640305
-1682.662082,76,13.757044
-1701.762534,76,13.879188
-1690.290934,76,14.005523
-1699.490436,76,14.14436
-1734.729335,76,14.26308
-1679.420687,76,14.390724
-1623.3872,76,14.514257
-1691.085662,76,14.631817
-1693.72612,76,14.771954
-1663.197578,76,14.889063
-1663.736547,76,15.007394
-1638.662644,76,15.150403
-1712.417813,76,15.281962
-1673.956654,76,15.413861
-1727.389785,76,15.535835
-1677.969759,76,15.669908
-1703.44768,76,15.796633
-1688.022411,76,15.923921
-1691.301346,76,16.052345
-1724.092023,76,16.176251
-1639.257566,76,16.315897
-1679.71291,76,16.451853
-1680.458332,76,16.565286
-1755.814095,76,16.678718
-1719.675106,76,16.80372
-1665.660743,76,16.997028
-1684.157739,76,17.176831
-1715.031983,76,17.343317
-1691.956653,76,17.483642
-1687.215837,76,17.644115
-1677.416843,76,17.793978
-1707.525226,76,17.956468
-1712.865677,76,18.133093
-1722.614539,76,18.308822
-1699.121073,76,18.49536
-1697.23822,76,18.666138
-1698.206233,76,18.845569
-1673.044745,76,20.055264
-1681.764983,76,20.203892
-1704.457603,76,20.34936
-1665.515397,76,20.471888
-1682.088804,76,20.667919
-1671.471519,76,20.90326
-1696.055099,76,21.11464
-1659.474418,76,21.307995
-1728.746869,76,21.517993
-1635.782792,76,21.699153
-1635.162057,76,21.904979
