#{"env_id": "SoccerEnv-v0", "t_start": 1540467593.1836627}
r,l,t
96.369528,121,1.044149
0.0,121,1.377602
0.0,121,1.754843
0.0,121,2.006449
238.861426,121,2.248327
511.148858,121,2.496651
19.409065,121,2.758953
-48.75002,121,3.053486
438.379733,121,3.471799
0.0,121,3.869931
0.0,121,4.270998
387.7161,121,4.666428
351.92187,121,5.077154
361.09092,121,5.507001
0.0,121,5.919879
123.507531,121,6.316319
124.100075,121,6.74108
41.47009,121,7.122384
445.963988,121,7.519463
179.969236,121,7.90915
0.0,121,8.321171
203.21304,121,8.747157
0.0,121,9.115473
906.882229,121,9.519344
23.847322,121,9.913733
0.0,121,10.299496
0.0,121,10.698341
0.0,121,11.090351
0.0,121,11.502368
-53.425096,121,11.924087
185.113642,121,12.300846
0.0,121,12.659129
0.0,121,13.031017
481.850863,121,17.737702
52.32213,121,17.986639
107.00635,121,18.232596
0.0,121,18.501455
0.0,121,18.742125
231.359226,121,18.97768
94.743993,121,19.210278
0.0,121,19.464809
192.755738,121,19.701987
136.614548,121,19.927019
0.0,121,20.207776
26.32035,121,20.447239
100.958001,121,20.7189
0.0,121,20.987428
159.093834,121,21.248145
150.390818,121,21.497115
-34.38002,121,21.782052
136.513518,121,22.065603
0.0,121,22.366099
-102.9804,121,22.660626
124.28611,121,22.923996
0.0,121,23.168069
0.0,121,23.439021
69.82138,121,23.736999
55.8917,121,24.001143
14.591966,121,24.259513
206.406101,121,24.543762
-11.63747,121,24.835762
106.541269,121,25.097053
780.54154,121,25.420036
42.52352,121,25.873368
0.0,121,26.301378
79.719397,121,26.718999
0.0,121,27.16826
1087.612777,121,32.61571
88.318646,121,32.840044
9.867675,121,33.063113
1.32213,121,33.296499
-21.97544,121,33.525803
28.6753,121,33.735027
1.05837,121,33.945808
57.861255,121,34.172386
23.590675,121,34.411761
87.885445,121,34.669989
-81.164652,121,34.91976
-2.758985,121,35.168631
74.841404,121,35.418878
-26.50172,121,35.64534
-17.38786,121,35.873999
139.527814,121,36.100947
-8.4934,121,36.395869
0.0,121,36.681749
19.67094,121,36.967172
0.0,121,37.248808
0.0,121,37.532927
0.0,121,37.829494
0.0,121,38.114222
0.0,121,38.366628
139.881422,121,38.613819
5.35495,121,38.893042
64.279904,121,39.196981
5.63629,121,39.47565
75.302026,121,39.74212
0.0,121,40.03389
-9.2605,121,40.366346
576.310191,121,40.7864
73.468157,121,41.175885
0.0,121,41.550638
610.775948,121,47.819216
81.162726,121,48.058483
0.0,121,48.276165
0.0,121,48.503473
0.0,121,48.725089
0.0,121,48.945267
0.0,121,49.16154
0.0,121,49.394669
0.0,121,49.614455
0.0,121,49.831777
179.302021,121,50.055323
22.540485,121,50.274223
0.0,121,50.497966
0.0,121,50.74479
0.0,121,50.989165
85.485718,121,51.245018
0.0,121,51.559961
149.786618,121,51.836696
0.0,121,52.14446
30.818145,121,52.451023
201.941673,121,52.755482
-5.39743,121,53.02086
0.0,121,53.389987
0.0,121,53.645926
375.598811,121,53.901079
37.879111,121,54.180435
15.62219,121,54.454179
16.03021,121,54.777283
65.984045,121,55.034943
30.735175,121,55.332938
19.762425,121,55.718649
0.0,121,56.183771
-51.33007,121,56.683377
0.0,121,57.165498
342.730951,121,63.285175
0.0,121,63.523856
0.0,121,63.74158
0.0,121,63.968491
0.0,121,64.209478
68.08147,121,64.447851
0.0,121,64.668074
0.0,121,64.914773
177.259501,121,65.184488
4.977335,121,65.455742
0.0,121,65.712227
25.92205,121,65.951397
4.624532,121,66.205902
-3.34037,121,66.463663
76.666051,121,66.719995
3.54712,121,67.00361
146.855348,121,67.290357
172.491556,121,67.561357
166.306093,121,67.871307
150.365686,121,68.141473
0.0,121,68.376033
180.460734,121,68.668709
158.520786,121,68.944488
92.3476,121,69.213783
97.292151,121,69.495649
74.993531,121,69.747517
25.6344,121,69.986163
265.606916,121,70.273365
-49.002581,121,70.581492
145.501952,121,70.861376
66.000278,121,71.134977
-1.28902,121,71.559202
137.812152,121,72.001465
2.15227,121,72.445243
26.861925,121,78.994728
16.901403,121,79.216623
39.757675,121,79.438113
456.557715,121,79.655165
98.659871,121,79.875724
147.195245,121,80.099018
45.6571,121,80.341065
194.113375,121,80.581959
34.376456,121,80.810189
119.348721,121,81.056998
428.751386,121,81.320866
-1.55875,121,81.56796
91.646401,121,81.820992
137.44648,121,82.096195
159.733334,121,82.352413
320.358091,121,82.617995
0.0,121,82.92512
-18.677141,121,83.186655
36.027889,121,83.425783
164.357772,121,83.694955
135.341836,121,84.003676
30.586379,121,84.306262
531.369548,121,84.609978
138.499791,121,84.924587
112.165926,121,85.162852
112.277116,121,85.474648
352.167123,121,85.75836
204.637086,121,86.021671
26.64453,121,86.294162
1.28562,121,86.628661
457.097279,121,86.901156
68.276206,121,87.237398
707.862719,121,87.65696
58.943669,121,88.098575
188.737106,121,94.388818
482.831626,121,94.614985
97.150278,121,94.836721
53.758096,121,95.077726
0.0,121,95.338781
113.67895,121,95.595993
29.48884,121,95.852832
-65.746792,121,96.087977
37.65346,121,96.321258
81.596967,121,96.567397
41.1857,121,96.811907
16.77181,121,97.057622
0.0,121,97.304857
101.575342,121,97.551259
0.0,121,97.784654
206.923685,121,98.073864
0.0,121,98.438267
0.0,121,98.757476
0.0,121,99.101242
308.821503,121,99.441086
0.0,121,99.770005
538.076856,121,100.133317
0.0,121,100.401988
141.322398,121,100.721265
56.11627,121,100.954311
89.616308,121,101.27764
62.020644,121,101.552865
0.0,121,101.874847
162.37228,121,102.190742
58.66774,121,102.500767
-18.67685,121,102.791783
162.974259,121,103.122862
133.146501,121,103.543068
107.909233,121,109.603538
101.081828,121,109.808982
278.175381,121,110.038382
0.0,121,110.243747
75.515034,121,110.458639
-54.06174,121,110.705993
0.0,121,110.979734
0.0,121,111.190504
0.0,121,111.41624
69.373018,121,111.633492
11.032515,121,111.86927
0.0,121,112.100366
0.0,121,112.340951
93.351001,121,112.559052
0.0,121,112.79164
0.0,121,113.048403
60.599396,121,113.324001
197.092792,121,113.659878
183.71692,121,113.968201
0.0,121,114.248829
32.547307,121,114.496074
0.0,121,114.775412
142.992717,121,115.072651
131.037527,121,115.308196
113.277607,121,115.577484
0.0,121,115.83998
89.464494,121,116.085464
-33.74075,121,116.351641
153.077479,121,116.656627
428.30194,121,116.907086
20.970435,121,117.219007
196.850852,121,117.609725
685.46796,121,118.037417
79.258451,121,118.462548
-4.835155,121,125.522224
-23.16499,121,125.747825
0.0,121,125.968489
0.0,121,126.237388
0.0,121,126.489087
0.0,121,126.720968
0.0,121,126.982332
142.157988,121,127.211992
0.0,121,127.430433
0.0,121,127.665866
0.0,121,127.900636
0.0,121,128.122981
0.0,121,128.361217
0.0,121,128.63396
0.0,121,128.870658
255.764278,121,129.124457
106.548989,121,129.361075
24.32684,121,129.65074
0.33789,121,129.980602
2.18584,121,130.270211
0.0,121,130.567097
-6.32914,121,130.864069
61.12123,121,131.13359
-16.255905,121,131.436163
0.0,121,131.698939
262.554615,121,131.966887
216.7134,121,132.261017
122.07439,121,132.540695
0.0,121,132.819388
212.843166,121,133.085402
0.0,121,133.379094
49.930727,121,133.733984
25.36413,121,134.172593
96.18733,121,134.577544
0.0,121,141.528662
7.34492,121,141.757947
317.053795,121,141.976984
196.045228,121,142.205042
0.0,121,142.454638
0.0,121,142.759723
94.604904,121,142.99634
110.529591,121,143.247824
72.031943,121,143.507237
0.0,121,143.742141
80.685342,121,143.996616
0.0,121,144.227797
172.891464,121,144.474937
0.0,121,144.73939
3.1505,121,144.977919
40.720691,121,145.227214
206.166106,121,145.509968
212.541558,121,145.76065
212.855157,121,146.008312
13.168665,121,146.299989
182.337099,121,146.5573
137.041308,121,146.827968
518.630969,121,147.115003
0.0,121,147.41788
0.0,121,147.730719
54.895949,121,148.001014
191.632311,121,148.330016
0.0,121,148.601029
15.05559,121,148.879125
-2.32232,121,149.298998
304.555121,121,149.785598
255.843137,121,150.212337
834.269093,121,150.652385
0.0,121,151.103723
0.0,121,158.021782
0.0,121,158.31723
0.0,121,158.670003
0.0,121,158.957198
9.242104,121,159.224833
0.0,121,159.463088
148.209477,121,159.697448
78.297731,121,159.924295
345.505831,121,160.174277
207.647145,121,160.402376
2.930075,121,160.649219
170.989095,121,160.916691
27.412911,121,161.125641
0.0,121,161.352277
104.819351,121,161.579984
0.0,121,161.867027
-13.8284,121,162.175602
66.063682,121,162.462274
0.0,121,162.711841
53.089575,121,162.99181
134.2747,121,163.229586
93.78257,121,163.509299
0.0,121,163.813706
0.0,121,164.150444
331.473655,121,164.465433
344.09996,121,164.764436
28.27026,121,165.051801
28.56839,121,165.365192
0.0,121,165.673718
109.848487,121,166.013698
134.303817,121,166.335981
90.816313,121,166.745684
152.469464,121,167.20748
271.36057,121,167.67114
0.0,121,174.542985
44.423279,121,174.78247
0.0,121,175.052643
0.0,121,175.313297
0.0,121,175.577007
0.0,121,175.821716
215.949135,121,176.063334
0.0,121,176.303719
38.909472,121,176.536161
0.0,121,176.787422
0.0,121,177.023224
123.53403,121,177.26597
212.538415,121,177.505918
0.0,121,177.708333
0.0,121,177.94196
100.84187,121,178.20896
197.216251,121,178.470988
196.926656,121,178.730927
110.235426,121,179.038845
152.38337,121,179.337996
140.201699,121,179.630733
86.508003,121,179.968188
43.063303,121,180.24974
0.0,121,180.50444
181.818889,121,180.745108
281.232641,121,180.992939
132.714812,121,181.29031
127.135469,121,181.596422
7.285346,121,181.86434
90.399565,121,182.164017
0.0,121,182.594107
0.0,121,183.022903
0.0,121,183.460289
0.0,121,183.882995
31.3065,121,190.79406
0.0,121,191.096892
0.0,121,191.409319
59.194675,121,191.717634
0.0,121,191.978708
0.0,121,192.237617
0.0,121,192.491963
34.38356,121,192.720116
70.503991,121,192.950982
21.6923,121,193.197524
186.014458,121,193.458638
449.296882,121,193.69191
-33.035672,121,193.946154
124.061649,121,194.181274
208.657271,121,194.445972
0.0,121,194.723945
52.996618,121,194.995981
0.0,121,195.28492
-3.568955,121,195.560572
38.43426,121,195.84316
39.67344,121,196.14694
0.0,121,196.471124
0.0,121,196.824247
421.389336,121,197.151036
-3.73489,121,197.480906
136.561762,121,197.758044
-6.85497,121,198.092827
0.0,121,198.398994
93.397759,121,198.690443
94.841963,121,198.997438
446.215053,121,199.309825
2.952106,121,199.736181
0.0,121,200.182284
125.42178,121,200.608176
1318.72406,121,206.85276
107.568533,121,207.077938
92.59267,121,207.32804
224.590737,121,207.553504
257.407601,121,207.805829
8.36861,121,208.043754
11.66827,121,208.252907
0.0,121,208.459489
-54.425039,121,208.684486
0.0,121,208.899982
0.0,121,209.131037
0.0,121,209.35899
0.0,121,209.579737
28.44095,121,209.822844
151.938267,121,210.035685
2.579979,121,210.297749
0.0,121,210.588991
162.550194,121,210.850145
246.342359,121,211.128024
96.22112,121,211.458061
276.812829,121,211.806544
158.131223,121,212.071206
-10.527575,121,212.343004
-14.59229,121,212.609802
137.319072,121,212.855759
5.0103,121,213.130973
0.0,121,213.423686
22.000615,121,213.710212
133.454172,121,214.078051
0.0,121,214.524492
0.0,121,214.983975
0.0,121,215.438968
0.0,121,215.851327
37.77456,121,222.29622
103.673129,121,222.539244
45.732144,121,222.804517
0.0,121,223.050369
11.521,121,223.287239
127.39589,121,223.52699
66.711769,121,223.807028
1.769275,121,224.055992
181.865007,121,224.391119
66.02413,121,224.648861
36.459035,121,224.896043
78.168949,121,225.14477
214.690648,121,225.418796
117.584129,121,225.673991
121.46594,121,225.921072
138.593628,121,226.192237
86.242435,121,226.447498
98.866683,121,226.822954
49.194889,121,227.079664
0.0,121,227.422511
124.241231,121,227.679662
203.337769,121,227.960967
201.784907,121,228.286308
101.02498,121,228.561997
310.88459,121,228.823058
58.253468,121,229.09448
92.282259,121,229.368091
95.199009,121,229.633516
423.129929,121,229.892689
117.847889,121,230.184205
0.0,121,230.487968
84.56724,121,230.805414
101.34021,121,231.101168
-87.7392,121,231.485319
0.0,121,238.473512
0.0,121,238.69998
30.904912,121,238.926338
0.0,121,239.165144
0.0,121,239.42139
127.602989,121,239.728744
129.692601,121,240.006743
78.970931,121,240.250426
0.0,121,240.484662
0.0,121,240.726147
483.318948,121,240.983763
0.0,121,241.233283
219.877312,121,241.477943
0.0,121,241.716999
0.0,121,241.979282
6.693272,121,242.313728
12.917815,121,242.581775
-2.871343,121,242.833938
73.941009,121,243.090812
602.632857,121,243.347617
168.938371,121,243.587314
8.28616,121,243.823989
114.862541,121,244.131829
140.381742,121,244.434334
0.0,121,244.750734
-48.29193,121,245.042322
-102.559949,121,245.337048
53.870824,121,245.631784
189.189514,121,246.005213
0.0,121,246.412387
0.0,121,246.843127
0.0,121,247.275315
0.0,121,247.714171
164.107783,121,248.163508
559.850011,121,254.414112
0.5342,121,254.631201
175.751493,121,254.856241
346.906735,121,255.072042
98.534899,121,255.310757
0.0,121,255.544825
210.86191,121,255.7941
0.0,121,256.042802
0.0,121,256.269211
0.0,121,256.515575
81.38712,121,256.765949
0.0,121,257.010395
0.0,121,257.246185
-30.67478,121,257.467308
0.0,121,257.705734
0.0,121,257.930978
515.648139,121,258.180008
154.071627,121,258.478777
11.05406,121,258.808439
161.740689,121,259.110646
14.776726,121,259.439435
-17.54409,121,259.698857
-44.210696,121,260.000834
236.877918,121,260.247632
23.79267,121,260.48673
0.0,121,260.745487
