#{"t_start": 1540436505.010172, "env_id": "SoccerEnv-v0"}
r,l,t
151.678267,121,0.848971
74.099464,121,1.207021
349.604428,121,1.56733
8.11378,121,2.239903
28.72597,121,2.883755
0.0,121,3.527147
0.0,121,4.173386
483.633259,121,4.832761
0.0,121,5.496481
772.378449,121,6.132166
0.0,121,6.757015
0.0,121,7.407705
158.360083,121,8.056566
0.0,121,8.75158
567.152314,121,9.41396
0.0,121,10.085627
0.0,121,10.744996
260.135767,121,11.403217
0.0,121,12.05813
212.043791,121,12.719841
310.529375,121,13.381875
194.742818,121,14.044539
51.376758,121,14.704311
304.643527,121,15.404236
0.0,121,16.054573
-85.166268,121,16.705336
273.545887,121,17.322648
0.0,121,17.955219
48.00875,121,18.632938
210.907571,121,19.274926
247.398571,121,19.931904
0.0,121,20.575459
0.0,121,21.161785
1.0662,121,22.630933
0.0,121,22.943267
-1.763585,121,23.253422
106.52038,121,23.563632
0.0,121,23.896714
560.673777,121,24.266281
0.0,121,24.615361
31.120372,121,25.054462
26.473977,121,25.707621
0.0,121,26.362556
0.0,121,27.00111
29.05739,121,27.633727
64.772349,121,28.243092
0.0,121,28.880724
144.87849,121,29.521958
-85.2224,121,30.106294
0.0,121,30.73659
0.0,121,31.363364
0.0,121,32.023792
0.0,121,32.66634
178.849993,121,33.326252
0.0,121,33.993274
123.781821,121,34.653854
0.0,121,35.311764
613.867957,121,35.963029
0.0,121,36.624852
0.0,121,37.298387
274.005649,121,37.958846
0.0,121,38.633942
20.794044,121,39.302084
0.0,121,39.951345
0.0,121,40.630758
1052.603657,121,41.308544
134.021969,121,41.976478
-20.370698,121,43.541844
-41.720369,121,43.90457
447.528193,121,44.289251
109.52033,121,44.832806
16.0553,121,45.48053
0.0,121,46.126787
8.34428,121,46.802476
0.0,121,47.435344
0.0,121,48.042439
1337.825658,121,48.673367
210.010184,121,49.340199
215.604788,121,49.969321
0.0,121,50.611352
331.658057,121,51.236343
10.17751,121,51.921438
0.0,121,52.555888
837.914185,121,53.182142
186.865361,121,53.809045
-1.49105,121,54.44158
49.456517,121,55.068643
302.891009,121,55.719641
144.715628,121,56.345542
155.454906,121,56.986542
215.51907,121,57.636953
0.0,121,58.227481
45.63787,121,58.862432
0.0,121,59.447357
31.725217,121,60.090595
0.0,121,60.726599
-32.17746,121,61.361779
0.0,121,61.984716
0.0,121,62.609776
0.0,121,63.230025
0.0,121,63.836251
391.350977,121,65.329092
108.622505,121,65.64337
251.039175,121,65.984248
0.0,121,66.584208
69.42901,121,67.199719
425.767009,121,67.798761
174.091678,121,68.429316
0.0,121,69.023093
0.0,121,69.649933
500.789949,121,70.28162
286.313824,121,70.942519
195.579681,121,71.560282
0.0,121,72.198726
0.0,121,72.838795
79.685629,121,73.46377
1027.456464,121,74.106965
292.074122,121,74.761217
151.01299,121,75.389227
0.0,121,76.01759
0.0,121,76.656248
139.820253,121,77.316964
0.0,121,77.965165
32.33938,121,78.614658
62.77284,121,79.244971
29.725691,121,79.887769
0.0,121,80.548252
507.610645,121,81.20481
1020.692149,121,81.872848
20.605581,121,82.501173
76.6877,121,83.11332
35.590971,121,83.66129
0.0,121,84.186301
180.962837,121,84.701344
0.0,121,85.180299
672.81373,121,86.653777
435.036547,121,86.974044
0.0,121,87.312939
76.97035,121,87.826238
345.097799,121,88.478411
-56.09932,121,89.09485
468.428948,121,89.725812
139.96352,121,90.327495
0.0,121,90.889936
0.0,121,91.444519
188.36312,121,92.030142
0.0,121,92.644144
27.94132,121,93.237073
36.589783,121,93.886037
0.0,121,94.550986
754.907944,121,95.195909
654.110927,121,95.886999
